PRIMARY_KEY,Emp
554,"temp-1-6"
555,"temp-1-5"
557,"temp-1-6"
559,"temp-1-6"
560,"temp-1-6"
561,"temp-1-6"
566,"temp-1-6"
573,"temp-1-6"
587,"temp-1-6"
590,"temp-1-6"
593,"temp-1-6"
594,"temp-1-6"
595,"temp-1-6"
607,"temp-1-6"
611,"temp-1-6"
614,"temp-1-6"
619,"temp-1-6"
621,"temp-2-2"
625,"temp-1-6"
628,"temp-1-6"
631,"temp-1-6"
640,"temp-1-6"
646,"temp-1-6"
648,"temp-1-6"
649,"temp-1-6"
650,"temp-1-6"
651,"temp-1-6"
654,"temp-1-6"
656,"temp-1-6"
659,"temp-1-6"
661,"temp-2-2"
668,"temp-1-6"
670,"temp-1-6"
671,"temp-1-6"
673,"temp-1-2"
678,"temp-1-6"
681,"temp-1-6"
689,"temp-1-6"
690,"temp-1-6"
692,"temp-1-6"
693,"temp-1-5"
695,"temp-1-6"
697,"temp-1-6"
701,"temp-1-3"
702,"temp-1-6"
706,"temp-1-6"
707,"temp-2-1"
712,"temp-1-6"
714,"temp-1-5"
716,"temp-2-2"
717,"temp-1-5"
727,"temp-1-6"
734,"temp-1-6"
736,"temp-1-6"
739,"temp-1-6"
740,"temp-1-6"
741,"temp-1-6"
744,"temp-1-6"
748,"temp-1-6"
749,"temp-2-1"
763,"temp-1-6"
769,"temp-1-6"
770,"temp-1-6"
774,"temp-1-6"
776,"temp-1-6"
777,"temp-1-6"
783,"temp-1-6"
784,"temp-1-5"
791,"temp-1-6"
794,"temp-1-2"
795,"temp-1-5"
797,"temp-1-6"
809,"temp-1-6"
812,"temp-1-2"
813,"temp-1-6"
816,"temp-1-6"
822,"temp-1-6"
827,"temp-1-3"
832,"temp-1-6"
838,"temp-1-6"
846,"temp-1-1"
847,"temp-1-6"
848,"temp-1-6"
851,"temp-1-6"
855,"temp-1-6"
857,"temp-1-1"
859,"temp-1-6"
865,"temp-1-2"
868,"temp-1-6"
873,"temp-1-6"
874,"temp-1-5"
876,"temp-1-5"
879,"temp-1-6"
880,"temp-1-6"
884,"temp-1-5"
887,"temp-1-6"
895,"temp-1-6"
898,"temp-1-6"
903,"temp-1-6"
905,"temp-1-6"
909,"temp-1-5"
910,"temp-2-1"
911,"temp-1-6"
913,"temp-1-6"
914,"temp-1-6"
919,"temp-1-6"
922,"temp-1-6"
925,"temp-1-6"
933,"temp-1-6"
935,"temp-1-5"
936,"temp-1-6"
938,"temp-1-6"
939,"temp-1-6"
942,"temp-2-2"
944,"temp-2-2"
947,"temp-1-6"
948,"temp-1-6"
951,"temp-1-6"
960,"temp-1-6"
966,"temp-1-6"
973,"temp-1-6"
975,"temp-1-1"
978,"temp-1-6"
983,"temp-2-1"
992,"temp-1-6"
1000,"temp-1-6"
1006,"temp-1-6"
1010,"temp-1-6"
1012,"temp-1-6"
1017,"temp-1-6"
1023,"temp-1-6"
1027,"temp-1-6"
1030,"temp-2-1"
1038,"temp-1-6"
1040,"temp-1-6"
1049,"temp-1-6"
1058,"temp-1-6"
1061,"temp-1-6"
1062,"temp-1-6"
1067,"temp-1-6"
1069,"temp-1-6"
1075,"temp-1-6"
1092,"temp-1-6"
1102,"temp-1-6"
1121,"temp-1-6"
1127,"temp-1-6"
1136,"temp-1-5"
1144,"temp-2-2"
1153,"temp-1-6"
1158,"temp-1-2"
1159,"temp-1-6"
1165,"temp-1-6"
1166,"temp-1-6"
1173,"temp-1-6"
1181,"temp-1-1"
1185,"temp-2-2"
1197,"temp-1-6"
1207,"temp-1-6"
1213,"temp-1-6"
1228,"temp-1-6"
1230,"temp-1-6"
1232,"temp-1-5"
1235,"temp-1-6"
1241,"temp-1-6"
1249,"temp-1-6"
1250,"temp-1-5"
1252,"temp-1-6"
1260,"temp-1-6"
1262,"temp-1-6"
1269,"temp-2-2"
1278,"temp-1-6"
1280,"temp-1-6"
1285,"temp-1-6"
1286,"temp-1-5"
1287,"temp-2-2"
1293,"temp-1-6"
1294,"temp-1-6"
1300,"temp-1-6"
1303,"temp-1-6"
1323,"temp-1-6"
1333,"temp-1-6"
1340,"temp-1-6"
1345,"temp-1-6"
1348,"temp-1-6"
1349,"temp-1-6"
1354,"temp-1-6"
1357,"temp-2-1"
1359,"temp-1-5"
1367,"temp-1-6"
1379,"temp-1-1"
1380,"temp-1-6"
1384,"temp-1-6"
1386,"temp-1-6"
1390,"temp-1-5"
1391,"temp-1-6"
1394,"temp-1-6"
1397,"temp-1-6"
1408,"temp-1-6"
1414,"temp-1-6"
1428,"temp-1-6"
1429,"temp-2-2"
1431,"temp-1-1"
1435,"temp-1-6"
1436,"temp-1-6"
1437,"temp-1-6"
1438,"temp-2-1"
1448,"temp-1-6"
1449,"temp-1-6"
1460,"temp-1-6"
1462,"temp-1-6"
1467,"temp-1-6"
1490,"temp-1-6"
1493,"temp-1-6"
1494,"temp-1-6"
1498,"temp-1-5"
1503,"temp-1-6"
1505,"temp-1-6"
1506,"temp-1-3"
1512,"temp-2-2"
1515,"temp-2-1"
1523,"temp-1-6"
1524,"temp-1-6"
1529,"temp-1-6"
1531,"temp-1-5"
1539,"temp-1-6"
1542,"temp-1-6"
1549,"temp-1-6"
1553,"temp-1-6"
1555,"temp-1-6"
1560,"temp-1-6"
1574,"temp-1-2"
1576,"temp-2-1"
1584,"temp-1-5"
1587,"temp-1-6"
1589,"temp-2-1"
1598,"temp-1-6"
1625,"temp-1-6"
1630,"temp-1-6"
1634,"temp-1-1"
1638,"temp-1-6"
1650,"temp-1-6"
1662,"temp-1-5"
1664,"temp-1-6"
1671,"temp-1-5"
1672,"temp-1-5"
1673,"temp-1-6"
1676,"temp-1-6"
1677,"temp-1-6"
1679,"temp-1-6"
1681,"temp-1-6"
1682,"temp-1-6"
1685,"temp-1-6"
1701,"temp-1-4"
1707,"temp-1-6"
1712,"temp-1-6"
1721,"temp-2-2"
1730,"temp-1-2"
1747,"temp-1-6"
1748,"temp-2-1"
1749,"temp-1-5"
1753,"temp-1-6"
1756,"temp-1-6"
1760,"temp-1-5"
1769,"temp-1-6"
1782,"temp-1-6"
1800,"temp-1-6"
1805,"temp-1-6"
1808,"temp-1-6"
1809,"temp-1-6"
1810,"temp-1-6"
1812,"temp-1-6"
1815,"temp-1-6"
1819,"temp-1-6"
1821,"temp-1-6"
1826,"temp-1-6"
1829,"temp-1-6"
1834,"temp-1-6"
1837,"temp-1-6"
1854,"temp-2-2"
1860,"temp-1-6"
1866,"temp-1-6"
1868,"temp-1-6"
1870,"temp-1-6"
1871,"temp-1-6"
1874,"temp-1-6"
1877,"temp-1-6"
1880,"temp-1-6"
1881,"temp-1-6"
1888,"temp-1-6"
1890,"temp-1-6"
1891,"temp-1-1"
1892,"temp-1-6"
1893,"temp-1-5"
1894,"temp-1-1"
1895,"temp-1-6"
1896,"temp-1-5"
1897,"temp-1-6"
1900,"temp-2-2"
1901,"temp-1-6"
1904,"temp-1-6"
1913,"temp-1-5"
1922,"temp-1-6"
1939,"temp-1-6"
1940,"temp-1-5"
1942,"temp-1-6"
1943,"temp-1-6"
1948,"temp-1-6"
1949,"temp-1-6"
1953,"temp-1-6"
1955,"temp-1-6"
1957,"temp-1-6"
1960,"temp-1-5"
1963,"temp-1-6"
1967,"temp-1-6"
1968,"temp-2-1"
1972,"temp-1-6"
1977,"temp-1-6"
1982,"temp-1-6"
1983,"temp-1-6"
1986,"temp-1-6"
1992,"temp-1-6"
1994,"temp-1-6"
2004,"temp-1-6"
2008,"temp-1-6"
2009,"temp-1-6"
2011,"temp-2-1"
2012,"temp-1-5"
2013,"temp-1-6"
2017,"temp-2-2"
2018,"temp-1-6"
2025,"temp-1-6"
2030,"temp-1-6"
2031,"temp-1-1"
2033,"temp-2-1"
2034,"temp-1-5"
2036,"temp-1-6"
2037,"temp-1-5"
2039,"temp-1-6"
2041,"temp-2-2"
2046,"temp-1-5"
2050,"temp-1-6"
2053,"temp-1-6"
2054,"temp-1-5"
2055,"temp-1-2"
2056,"temp-1-6"
2057,"temp-1-5"
2070,"temp-1-6"
2071,"temp-1-6"
2077,"temp-1-6"
2083,"temp-2-1"
2084,"temp-1-6"
2086,"temp-1-6"
2087,"temp-1-6"
2089,"temp-1-6"
2090,"temp-1-6"
2092,"temp-1-6"
2098,"temp-1-6"
2102,"temp-1-6"
2103,"temp-1-6"
2111,"temp-1-6"
2113,"temp-1-6"
2116,"temp-1-6"
2117,"temp-1-6"
2120,"temp-1-6"
2123,"temp-1-5"
2124,"temp-1-6"
2126,"temp-2-1"
2127,"temp-2-1"
2130,"temp-1-6"
2132,"temp-1-6"
2146,"temp-1-6"
2152,"temp-1-6"
2160,"temp-1-6"
2165,"temp-1-6"
2166,"temp-1-5"
2171,"temp-1-6"
2189,"temp-1-2"
2193,"temp-1-6"
2201,"temp-1-6"
2206,"temp-1-6"
2208,"temp-1-6"
2209,"temp-1-6"
2210,"temp-1-6"
2214,"temp-1-6"
2215,"temp-1-5"
2217,"temp-1-6"
2218,"temp-1-2"
2220,"temp-2-1"
2225,"temp-1-6"
2226,"temp-1-6"
2229,"temp-1-6"
2241,"temp-2-1"
2242,"temp-1-6"
2244,"temp-1-2"
2247,"temp-1-6"
2248,"temp-1-6"
2251,"temp-2-1"
2252,"temp-1-6"
2256,"temp-1-6"
2258,"temp-1-6"
2267,"temp-2-1"
2285,"temp-1-6"
2294,"temp-1-6"
2297,"temp-1-6"
2298,"temp-1-6"
2301,"temp-1-6"
2307,"temp-1-6"
2309,"temp-1-6"
2313,"temp-1-6"
2315,"temp-2-1"
2317,"temp-1-6"
2319,"temp-1-5"
2320,"temp-1-6"
2321,"temp-1-6"
2322,"temp-2-1"
2328,"temp-1-6"
2337,"temp-1-6"
2340,"temp-1-6"
2342,"temp-1-6"
2345,"temp-1-6"
2348,"temp-1-6"
2353,"temp-1-6"
2354,"temp-1-6"
2355,"temp-2-1"
2359,"temp-1-1"
2360,"temp-1-6"
2362,"temp-1-6"
2363,"temp-1-6"
2366,"temp-1-6"
2371,"temp-1-6"
2375,"temp-1-2"
2378,"temp-2-1"
2380,"temp-2-2"
2381,"temp-1-6"
2388,"temp-1-5"
2389,"temp-1-6"
2396,"temp-1-6"
2404,"temp-2-1"
2407,"temp-1-6"
2411,"temp-1-6"
2414,"temp-1-6"
2417,"temp-1-6"
2424,"temp-1-5"
2428,"temp-1-5"
2435,"temp-1-6"
2437,"temp-1-6"
2441,"temp-1-6"
2442,"temp-1-6"
2446,"temp-1-6"
2457,"temp-1-6"
2462,"temp-1-5"
2472,"temp-1-6"
2492,"temp-2-1"
2495,"temp-1-6"
2509,"temp-2-2"
2510,"temp-1-5"
2511,"temp-1-5"
2513,"temp-1-5"
2515,"temp-1-6"
2517,"temp-1-6"
2518,"temp-1-6"
2521,"temp-1-6"
2536,"temp-2-1"
2545,"temp-2-2"
2547,"temp-1-6"
2554,"temp-1-6"
2565,"temp-1-6"
2567,"temp-2-1"
2570,"temp-1-6"
2571,"temp-1-6"
2573,"temp-1-6"
2583,"temp-1-6"
2587,"temp-1-6"
2590,"temp-1-6"
2598,"temp-2-1"
2602,"temp-1-6"
2609,"temp-1-6"
2610,"temp-1-6"
2612,"temp-1-6"
2618,"temp-1-6"
2624,"temp-1-6"
2625,"temp-1-5"
2632,"temp-1-6"
2633,"temp-1-6"
2636,"temp-1-6"
2639,"temp-1-6"
2652,"temp-1-6"
2653,"temp-2-2"
2662,"temp-1-6"
2663,"temp-1-6"
2666,"temp-1-6"
2667,"temp-2-1"
2671,"temp-2-1"
2674,"temp-1-6"
2688,"temp-2-1"
2690,"temp-1-6"
2694,"temp-1-6"
2700,"temp-1-6"
2705,"temp-1-6"
2706,"temp-1-6"
2709,"temp-2-1"
2711,"temp-1-6"
2715,"temp-1-1"
2716,"temp-1-6"
2719,"temp-1-6"
2722,"temp-1-6"
2724,"temp-1-6"
2727,"temp-1-6"
2731,"temp-1-6"
2732,"temp-1-5"
2735,"temp-1-6"
2738,"temp-1-6"
2740,"temp-1-6"
2746,"temp-1-5"
2750,"temp-1-6"
2751,"temp-1-5"
2752,"temp-1-6"
2753,"temp-1-6"
2758,"temp-1-6"
2760,"temp-1-6"
2766,"temp-1-2"
2768,"temp-1-6"
2770,"temp-2-2"
2771,"temp-1-6"
2772,"temp-1-6"
2775,"temp-1-5"
2778,"temp-1-6"
2789,"temp-2-1"
2795,"temp-1-6"
2801,"temp-1-6"
2802,"temp-1-6"
2803,"temp-2-1"
2805,"temp-1-6"
2806,"temp-1-6"
2807,"temp-2-2"
2808,"temp-1-6"
2810,"temp-1-6"
2813,"temp-1-6"
2820,"temp-1-6"
2824,"temp-2-1"
2825,"temp-1-6"
2826,"temp-1-6"
2828,"temp-2-2"
2835,"temp-1-6"
2839,"temp-1-6"
2842,"temp-2-2"
2849,"temp-1-6"
2858,"temp-2-1"
2859,"temp-1-6"
2860,"temp-1-6"
2861,"temp-1-6"
2867,"temp-1-6"
2887,"temp-1-6"
2889,"temp-1-6"
2891,"temp-1-6"
2901,"temp-1-6"
2912,"temp-1-6"
2916,"temp-2-2"
2921,"temp-2-1"
2922,"temp-1-6"
2923,"temp-2-1"
2925,"temp-2-1"
2926,"temp-1-6"
2931,"temp-1-6"
2938,"temp-1-6"
2939,"temp-1-6"
2945,"temp-1-6"
2946,"temp-1-6"
2947,"temp-1-6"
2953,"temp-1-6"
2956,"temp-1-5"
2959,"temp-1-6"
2986,"temp-1-6"
2991,"temp-1-5"
2993,"temp-1-5"
2996,"temp-1-6"
2997,"temp-2-1"
2999,"temp-1-6"
3010,"temp-2-1"
3016,"temp-2-1"
3018,"temp-1-6"
3019,"temp-1-5"
3021,"temp-1-6"
3028,"temp-1-6"
3031,"temp-2-2"
3035,"temp-1-6"
3049,"temp-1-6"
3054,"temp-1-6"
3057,"temp-1-6"
3078,"temp-1-6"
3079,"temp-1-5"
3084,"temp-2-2"
3085,"temp-1-6"
3097,"temp-1-6"
3098,"temp-1-6"
3101,"temp-1-6"
3108,"temp-2-1"
3109,"temp-1-6"
3113,"temp-1-6"
3131,"temp-1-6"
3132,"temp-1-6"
3135,"temp-1-6"
3139,"temp-1-6"
3143,"temp-1-6"
3144,"temp-1-6"
3145,"temp-1-6"
3150,"temp-1-6"
3153,"temp-1-6"
3154,"temp-1-6"
3156,"temp-1-6"
3158,"temp-1-6"
3161,"temp-1-6"
3166,"temp-1-6"
3168,"temp-1-6"
3169,"temp-2-1"
3170,"temp-1-6"
3174,"temp-1-6"
3181,"temp-1-6"
3186,"temp-1-6"
3187,"temp-1-6"
3188,"temp-2-2"
3196,"temp-1-6"
3197,"temp-1-6"
3202,"temp-1-6"
3203,"temp-1-6"
3208,"temp-2-1"
3213,"temp-1-6"
3217,"temp-1-6"
3218,"temp-1-6"
3220,"temp-1-6"
3224,"temp-1-6"
3226,"temp-1-6"
3234,"temp-2-1"
3237,"temp-1-6"
3241,"temp-1-6"
3244,"temp-1-5"
3247,"temp-1-6"
3253,"temp-1-6"
3262,"temp-1-6"
3270,"temp-1-6"
3271,"temp-1-6"
3281,"temp-1-6"
3290,"temp-1-6"
3291,"temp-1-6"
3293,"temp-2-1"
3302,"temp-1-6"
3308,"temp-1-5"
3313,"temp-1-6"
3315,"temp-1-6"
3328,"temp-1-5"
3329,"temp-2-1"
3337,"temp-1-5"
3338,"temp-1-1"
3341,"temp-1-6"
3344,"temp-1-6"
3345,"temp-1-6"
3371,"temp-1-6"
3372,"temp-1-6"
3383,"temp-1-6"
3386,"temp-1-6"
3392,"temp-1-6"
3401,"temp-1-6"
3403,"temp-1-6"
3404,"temp-1-6"
3406,"temp-1-6"
3422,"temp-1-6"
3423,"temp-1-6"
3426,"temp-1-6"
3428,"temp-2-1"
3429,"temp-1-5"
3434,"temp-1-6"
3438,"temp-1-6"
3439,"temp-1-4"
3442,"temp-1-6"
3444,"temp-1-6"
3446,"temp-1-6"
3450,"temp-1-6"
3455,"temp-1-5"
3457,"temp-1-6"
3463,"temp-1-6"
3465,"temp-1-6"
3471,"temp-1-6"
3479,"temp-2-2"
3480,"temp-1-6"
3482,"temp-1-6"
3488,"temp-1-6"
3494,"temp-1-5"
3495,"temp-1-6"
3496,"temp-1-6"
3505,"temp-1-6"
3513,"temp-1-6"
3514,"temp-1-6"
3523,"temp-1-6"
3527,"temp-1-6"
3535,"temp-1-6"
3540,"temp-1-6"
3542,"temp-1-6"
3543,"temp-2-2"
3544,"temp-1-6"
3545,"temp-1-6"
3547,"temp-1-6"
3549,"temp-1-6"
3554,"temp-1-6"
3556,"temp-1-6"
3569,"temp-1-6"
3572,"temp-1-6"
3574,"temp-1-6"
3577,"temp-1-6"
3590,"temp-1-6"
3591,"temp-2-2"
3595,"temp-2-2"
3604,"temp-1-6"
3606,"temp-1-6"
3607,"temp-2-1"
3611,"temp-1-6"
3616,"temp-1-6"
3622,"temp-1-6"
3627,"temp-2-1"
3634,"temp-2-3"
3635,"temp-2-2"
3637,"temp-1-5"
3640,"temp-1-6"
3658,"temp-1-1"
3663,"temp-2-1"
3664,"temp-1-1"
3673,"temp-1-6"
3676,"temp-1-6"
3682,"temp-1-6"
3686,"temp-1-5"
3687,"temp-1-6"
3691,"temp-1-6"
3695,"temp-1-6"
3696,"temp-1-6"
3698,"temp-1-6"
3706,"temp-1-6"
3714,"temp-1-6"
3717,"temp-2-2"
3720,"temp-1-6"
3729,"temp-1-5"
3731,"temp-1-6"
3736,"temp-2-2"
3737,"temp-1-6"
3740,"temp-1-6"
3749,"temp-1-6"
3757,"temp-1-6"
3760,"temp-1-6"
3762,"temp-2-2"
3774,"temp-1-6"
3778,"temp-1-6"
3780,"temp-1-1"
3783,"temp-1-6"
3786,"temp-1-6"
3790,"temp-1-6"
3796,"temp-1-6"
3800,"temp-1-6"
3801,"temp-1-6"
3802,"temp-1-6"
3806,"temp-2-1"
3807,"temp-1-6"
3808,"temp-1-6"
3816,"temp-1-1"
3820,"temp-1-6"
3828,"temp-2-1"
3835,"temp-1-6"
3838,"temp-1-6"
3852,"temp-2-2"
3853,"temp-1-5"
3865,"temp-1-6"
3868,"temp-1-5"
3871,"temp-1-6"
3874,"temp-2-1"
3877,"temp-2-1"
3881,"temp-1-6"
3883,"temp-1-6"
3887,"temp-1-6"
3896,"temp-1-6"
3901,"temp-1-6"
3908,"temp-1-6"
3909,"temp-1-6"
3910,"temp-1-6"
3911,"temp-1-6"
3913,"temp-1-6"
3930,"temp-1-6"
3939,"temp-1-6"
3945,"temp-1-6"
3953,"temp-1-5"
3955,"temp-1-5"
3956,"temp-1-5"
3957,"temp-1-6"
3958,"temp-1-2"
3962,"temp-1-6"
3964,"temp-1-6"
3966,"temp-1-6"
3969,"temp-2-1"
3973,"temp-1-6"
3977,"temp-1-6"
3978,"temp-1-6"
3982,"temp-1-6"
3984,"temp-2-2"
3991,"temp-1-6"
3998,"temp-1-5"
4000,"temp-1-6"
4004,"temp-1-6"
4005,"temp-1-6"
4009,"temp-1-6"
4012,"temp-1-6"
4017,"temp-1-6"
4023,"temp-1-6"
4027,"temp-1-6"
4037,"temp-1-6"
4038,"temp-2-2"
4046,"temp-1-6"
4047,"temp-2-1"
4051,"temp-1-5"
4053,"temp-1-6"
4069,"temp-1-6"
4074,"temp-2-1"
4077,"temp-1-6"
4083,"temp-1-6"
4090,"temp-1-6"
4096,"temp-1-6"
4098,"temp-1-6"
4101,"temp-2-2"
4110,"temp-1-6"
4120,"temp-1-6"
4131,"temp-1-6"
4134,"temp-1-6"
4136,"temp-1-6"
4139,"temp-1-6"
4141,"temp-1-6"
4145,"temp-1-6"
4146,"temp-1-6"
4151,"temp-1-6"
4154,"temp-1-6"
4155,"temp-1-6"
4157,"temp-1-6"
4158,"temp-1-6"
4165,"temp-1-2"
4167,"temp-2-1"
4174,"temp-1-1"
4176,"temp-1-6"
4181,"temp-1-6"
4182,"temp-1-6"
4193,"temp-1-6"
4197,"temp-1-1"
4198,"temp-1-6"
4200,"temp-1-6"
4204,"temp-2-1"
4209,"temp-1-6"
4212,"temp-1-6"
4213,"temp-1-6"
4223,"temp-1-6"
4224,"temp-2-2"
4227,"temp-1-6"
4231,"temp-1-6"
4239,"temp-1-6"
4243,"temp-1-6"
4254,"temp-1-5"
4260,"temp-1-1"
4262,"temp-1-6"
4267,"temp-1-6"
4268,"temp-1-6"
4278,"temp-1-6"
4287,"temp-1-6"
4290,"temp-1-6"
4292,"temp-1-6"
4293,"temp-1-6"
4294,"temp-2-1"
4306,"temp-1-6"
4309,"temp-1-6"
4310,"temp-1-6"
4312,"temp-1-6"
4320,"temp-1-6"
4325,"temp-2-2"
4326,"temp-1-6"
4327,"temp-1-6"
4330,"temp-1-6"
4332,"temp-2-2"
4339,"temp-1-1"
4342,"temp-1-5"
4344,"temp-1-6"
4348,"temp-1-5"
4352,"temp-1-6"
4360,"temp-1-6"
4361,"temp-2-1"
4367,"temp-1-6"
4369,"temp-1-6"
4372,"temp-2-1"
4380,"temp-1-6"
4389,"temp-1-5"
4392,"temp-1-2"
4394,"temp-1-6"
4395,"temp-1-2"
4399,"temp-1-2"
4402,"temp-1-6"
4417,"temp-1-6"
4420,"temp-1-5"
4421,"temp-1-6"
4422,"temp-1-6"
4428,"temp-1-5"
4435,"temp-1-6"
4437,"temp-2-1"
4440,"temp-1-6"
4441,"temp-1-6"
4443,"temp-1-6"
4450,"temp-1-6"
4456,"temp-1-6"
4462,"temp-1-6"
4464,"temp-2-2"
4465,"temp-1-6"
4467,"temp-1-6"
4471,"temp-1-6"
4474,"temp-1-6"
4475,"temp-1-6"
4480,"temp-1-6"
4485,"temp-1-6"
4486,"temp-1-5"
4488,"temp-1-5"
4491,"temp-1-6"
4493,"temp-1-6"
4499,"temp-1-6"
4503,"temp-1-2"
4505,"temp-1-6"
4514,"temp-1-6"
4515,"temp-1-5"
4518,"temp-2-1"
4524,"temp-1-6"
4531,"temp-1-6"
4537,"temp-1-6"
4549,"temp-1-6"
4550,"temp-1-6"
4553,"temp-2-1"
4554,"temp-1-6"
4561,"temp-1-6"
4566,"temp-1-6"
4569,"temp-1-6"
4573,"temp-1-6"
4579,"temp-1-6"
4582,"temp-1-6"
4586,"temp-1-6"
4587,"temp-1-6"
4592,"temp-1-6"
4594,"temp-1-6"
4596,"temp-1-6"
4600,"temp-1-6"
4602,"temp-1-6"
4604,"temp-1-6"
4611,"temp-1-6"
4616,"temp-1-1"
4617,"temp-1-6"
4620,"temp-1-6"
4621,"temp-1-6"
4625,"temp-1-6"
4626,"temp-1-6"
4627,"temp-1-6"
4628,"temp-1-6"
4634,"temp-1-6"
4635,"temp-1-6"
4636,"temp-2-1"
4637,"temp-1-6"
4638,"temp-1-6"
4639,"temp-1-5"
4642,"temp-1-6"
4643,"temp-1-6"
4644,"temp-1-6"
4654,"temp-1-6"
4666,"temp-1-6"
4668,"temp-1-6"
4672,"temp-1-6"
4683,"temp-1-6"
4692,"temp-2-1"
4693,"temp-2-1"
4695,"temp-1-6"
4696,"temp-1-6"
4701,"temp-1-6"
4703,"temp-1-5"
4704,"temp-1-6"
4720,"temp-1-6"
4725,"temp-1-6"
4733,"temp-1-5"
4734,"temp-1-6"
4736,"temp-1-6"
4737,"temp-1-6"
4739,"temp-1-5"
4741,"temp-1-3"
4746,"temp-1-6"
4754,"temp-1-6"
4757,"temp-1-6"
4758,"temp-1-6"
4762,"temp-1-6"
4763,"temp-1-5"
4765,"temp-1-6"
4772,"temp-2-2"
4778,"temp-1-6"
4782,"temp-1-6"
4793,"temp-1-6"
4795,"temp-2-2"
4797,"temp-1-6"
4798,"temp-1-6"
4800,"temp-1-6"
4805,"temp-1-6"
4811,"temp-1-6"
4812,"temp-1-6"
4813,"temp-1-2"
4817,"temp-2-2"
4825,"temp-1-6"
4832,"temp-1-5"
4835,"temp-1-6"
4839,"temp-1-6"
4841,"temp-2-2"
4842,"temp-1-6"
4848,"temp-1-6"
4849,"temp-1-6"
4850,"temp-1-6"
4856,"temp-1-6"
4857,"temp-1-6"
4864,"temp-1-6"
4866,"temp-1-6"
4871,"temp-1-6"
4877,"temp-1-3"
4880,"temp-1-6"
4881,"temp-1-5"
4887,"temp-1-6"
4890,"temp-1-6"
4892,"temp-1-6"
4893,"temp-2-1"
4898,"temp-1-6"
4899,"temp-1-6"
4902,"temp-1-6"
4908,"temp-1-6"
4911,"temp-1-6"
4912,"temp-1-6"
4914,"temp-1-6"
4915,"temp-1-6"
4917,"temp-1-6"
4919,"temp-2-2"
4929,"temp-1-6"
4932,"temp-1-5"
4936,"temp-1-5"
4939,"temp-1-5"
4942,"temp-1-6"
4955,"temp-1-6"
4957,"temp-2-1"
4963,"temp-1-6"
4964,"temp-1-5"
4967,"temp-1-6"
4971,"temp-1-5"
4972,"temp-1-6"
4973,"temp-1-2"
4975,"temp-1-6"
