PRIMARY_KEY,WORKING_HOURS,EMPLOYER_CATEGORY,WAGES,JOB_DESCRIPTION,JOB_CATEGORY,CONTRACT_TYPE,JOB_DEP,Job_condition,activity_sector,Employee_count
1730,238,"ct_2",1655,"671a","X","AUT","02","P","OZ","tr_2"
1749,1711,"ct_1",24613,"341a","O","AUT","60","P","PZ","tr_4"
1753,1820,"ct_9",40945,"388d","O","CDI","02","C","DZ","tr_3"
1756,605,"ct_9",6714,"526b","O","CDI","02","P","QA","tr_1"
1760,1820,"ct_8",11581,"675b","X","AUT","02","C","QB","tr_5"
1769,1563,"ct_9",21429,"462e","O","CDI","59","C","CJ","tr_2"
1782,260,NA,2576,"684a","O","CDI","02","P","GZ",NA
1800,1760,"ct_9",33916,"382c","O","CDI","51","C","FZ","tr_3"
1805,1258,"ct_9",11783,"552a","O","CDI","02","P","GZ","tr_3"
1808,902,"ct_9",9981,"526a","O","CDI","02","C","QB","tr_4"
1810,1198,"ct_8",10583,"526a","O","CDI","02","C","QB","tr_5"
1812,1111,"ct_8",12591,"525c","O","CDI","59","P","QB","tr_2"
1815,1845,"ct_9",18882,"543f","O","CDI","02","P","GZ","tr_3"
1819,1534,"ct_8",18952,"525d","O","CDI","02","C","QB","tr_4"
1821,1486,"ct_8",16257,"434g","O","CDI","02","C","QB","tr_2"
1826,731,"ct_9",13555,"561b","O","CDI","75","C","IZ","tr_6"
1829,1757,"ct_9",14150,"374d","O","CDI","02","C","GZ","tr_4"
1834,1572,"ct_8",17788,"526a","O","CDI","08","C","QB","tr_5"
1837,1675,"ct_9",25267,"435b","O","CDI","02","C","QB","tr_4"
1866,1400,"ct_9",15961,"551a","O","CDI","03","C","GZ","tr_4"
1868,1487,"ct_9",30837,"481a","O","CDI","03","C","FZ","tr_3"
1870,1307,"ct_8",14500,"543e","O","CDI","03","C","NZ","tr_2"
1874,1821,"ct_9",54027,"371a","O","CDI","03","C","KZ","tr_6"
1877,1957,"ct_9",19650,"526e","O","CDI","03","C","QA","tr_1"
1880,961,NA,6347,"563b","O","CDI","03","C","QB",NA
1881,1540,"ct_9",23265,"625a","O","CDI","03","C","CG","tr_6"
1888,865,"ct_9",10036,"542a","O","CDI","03","P","FZ","tr_1"
1890,1690,"ct_8",18128,"526a","O","CDI","03","C","QB","tr_4"
1891,602,"ct_9",2747,"622c","A","APP","03","C","DZ","tr_3"
1892,1820,"ct_8",21045,"526a","O","CDI","03","C","QB","tr_3"
1893,520,"ct_9",5085,"681b","X","AUT","03","C","FZ","tr_3"
1894,772,"ct_9",5617,"621d","A","APP","18","C","FZ","tr_4"
1895,1288,"ct_9",26705,"373d","O","CDI","03","C","CK","tr_3"
1896,1824,"ct_3",26445,"431f","O","AUT","03","C","QA","tr_6"
1897,1759,"ct_9",18177,"556a","O","CDI","03","C","GZ","tr_2"
1901,1280,"ct_9",21037,"374a","O","CDI","03","C","GZ","tr_3"
1904,1669,"ct_9",18172,"676c","O","CDI","03","C","SZ","tr_3"
1913,1823,"ct_1",45426,"333e","O","AUT","03","C","OZ","tr_5"
1922,1809,"ct_9",20360,"671c","O","CDI","03","C","CG","tr_3"
1939,1440,"ct_9",12900,"463e","O","CDI","63","C","GZ","tr_5"
1940,1820,"ct_1",14993,"422e","O","CDD","03","C","PZ","tr_5"
1942,349,"ct_9",4990,"543b","O","CDI","03","C","MA","tr_2"
1943,1821,"ct_9",29203,"333c","O","CDI","63","C","HZ","tr_6"
1948,1603,"ct_9",17729,"676a","O","CDI","03","C","CH","tr_1"
1949,585,"ct_9",10303,"632g","O","CDI","03","C","FZ","tr_0"
1953,1819,"ct_9",26739,"433a","O","CDI","03","C","NZ","tr_1"
1955,1300,"ct_8",14292,"526a","O","CDI","03","P","QB","tr_3"
1957,1780,"ct_9",24476,"626b","O","CDI","63","C","CG","tr_6"
1960,1790,"ct_1",18368,"333a","O","TOA","63","C","QB","tr_3"
1967,1848,"ct_9",23137,"543f","O","CDI","03","C","SZ","tr_1"
1972,1431,"ct_8",15215,"526d","O","CDI","03","P","QB","tr_4"
1977,1777,"ct_9",26772,"626b","O","CDI","63","C","CG","tr_6"
1982,1133,"ct_8",15337,"477d","O","CDI","03","C","QA","tr_3"
1983,1809,"ct_9",20930,"541b","O","CDI","03","C","NZ","tr_1"
1986,1207,"ct_9",12990,"632j","O","CDI","63","C","FZ","tr_1"
1994,1535,"ct_9",25089,"466c","O","CDI","03","C","HZ","tr_3"
2004,1470,"ct_9",27351,"681a","O","CDI","03","C","FZ","tr_3"
2008,1227,"ct_9",10003,"555a","O","CDI","03","P","NZ","tr_5"
2009,1828,"ct_5",29427,"480a","O","CDI","63","C","LZ","tr_6"
2012,1814,"ct_3",20414,"525d","O","AUT","03","C","QB","tr_6"
2013,220,"ct_8",1958,"543e","O","CDI","03","C","SZ","tr_0"
