PRIMARY_KEY,club
2805,"fede-133"
2842,"fede-135"
2849,"fede-221"
2873,"fede-242"
2914,"fede-242"
2921,"fede-135"
2922,"fede-123"
2926,"fede-410"
2937,"fede-115"
2945,"fede-252"
3021,"fede-101"
3091,"fede-228"
3099,"fede-402"
3113,"fede-403"
3124,"fede-125"
3131,"fede-206"
3150,"fede-111"
3181,"fede-132"
3186,"fede-129"
3189,"fede-242"
3203,"fede-115"
3231,"fede-221"
3235,"fede-111"
3247,"fede-242"
3253,"fede-109"
3280,"fede-249"
3281,"fede-405"
3293,"fede-129"
3330,"fede-404"
3332,"fede-111"
3344,"fede-114"
3345,"fede-121"
3361,"fede-115"
3372,"fede-133"
3418,"fede-109"
3442,"fede-401"
3446,"fede-123"
3450,"fede-125"
3460,"fede-420"
3482,"fede-121"
3488,"fede-134"
3495,"fede-242"
3504,"fede-109"
3509,"fede-123"
3518,"fede-105"
3572,"fede-123"
3576,"fede-111"
3588,"fede-404"
3590,"fede-404"
3594,"fede-123"
3604,"fede-242"
3629,"fede-132"
3658,"fede-129"
3717,"fede-221"
3760,"fede-111"
3770,"fede-413"
3784,"fede-221"
3796,"fede-123"
3797,"fede-119"
3801,"fede-134"
3816,"fede-601"
3825,"fede-211"
3876,"fede-131"
3880,"fede-123"
3908,"fede-132"
3929,"fede-132"
3941,"fede-134"
3982,"fede-129"
4009,"fede-501"
4010,"fede-132"
4012,"fede-132"
4018,"fede-134"
4053,"fede-114"
4080,"fede-242"
4083,"fede-101"
4110,"fede-201"
4133,"fede-420"
4165,"fede-127"
4207,"fede-123"
4221,"fede-128"
4246,"fede-245"
4260,"fede-604"
4276,"fede-404"
4291,"fede-119"
4295,"fede-256"
4303,"fede-403"
4308,"fede-245"
4325,"fede-123"
4331,"fede-121"
4345,"fede-119"
4364,"fede-403"
4367,"fede-101"
4373,"fede-402"
4409,"fede-123"
4420,"fede-111"
4471,"fede-117"
4472,"fede-604"
4486,"fede-123"
4489,"fede-105"
4502,"fede-105"
4505,"fede-109"
4507,"fede-410"
4558,"fede-114"
4574,"fede-115"
4588,"fede-242"
4596,"fede-113"
4604,"fede-115"
4636,"fede-243"
4645,"fede-201"
4668,"fede-245"
4682,"fede-111"
4721,"fede-402"
4734,"fede-111"
4776,"fede-219"
4786,"fede-111"
4795,"fede-403"
4807,"fede-125"
4817,"fede-111"
4857,"fede-123"
4861,"fede-133"
4867,"fede-605"
4892,"fede-125"
4898,"fede-605"
4902,"fede-105"
4911,"fede-402"
4913,"fede-123"
4921,"fede-211"
4929,"fede-125"
4967,"fede-211"
4974,"fede-123"
4984,"fede-242"
5015,"fede-242"
5041,"fede-127"
5050,"fede-245"
5062,"fede-101"
5065,"fede-413"
5069,"fede-123"
5086,"fede-242"
5101,"fede-109"
5109,"fede-125"
5132,"fede-221"
5153,"fede-127"
5155,"fede-134"
5157,"fede-604"
5176,"fede-124"
5185,"fede-125"
5197,"fede-242"
5211,"fede-111"
5218,"fede-242"
5229,"fede-101"
5300,"fede-501"
5305,"fede-111"
5322,"fede-105"
5329,"fede-124"
5335,"fede-221"
5344,"fede-218"
5367,"fede-242"
5419,"fede-111"
5443,"fede-111"
5459,"fede-124"
5479,"fede-233"
5494,"fede-105"
5495,"fede-111"
5500,"fede-117"
5510,"fede-101"
5528,"fede-218"
5529,"fede-133"
5558,"fede-105"
5571,"fede-111"
5572,"fede-209"
5584,"fede-604"
5587,"fede-242"
5607,"fede-133"
5653,"fede-242"
5654,"fede-242"
5663,"fede-111"
5668,"fede-218"
5674,"fede-133"
5677,"fede-133"
5683,"fede-242"
5685,"fede-402"
5686,"fede-111"
5724,"fede-109"
5746,"fede-413"
5747,"fede-109"
5774,"fede-233"
5789,"fede-119"
5822,"fede-402"
5832,"fede-111"
5833,"fede-413"
5853,"fede-413"
5891,"fede-604"
5923,"fede-249"
5936,"fede-125"
5949,"fede-105"
5970,"fede-413"
5974,"fede-413"
5975,"fede-124"
5992,"fede-401"
6001,"fede-101"
6018,"fede-132"
6030,"fede-119"
6044,"fede-242"
6061,"fede-125"
6073,"fede-134"
6079,"fede-401"
6084,"fede-413"
6134,"fede-402"
6135,"fede-109"
6156,"fede-111"
6167,"fede-605"
6224,"fede-111"
6229,"fede-133"
6249,"fede-413"
6252,"fede-245"
6259,"fede-121"
6272,"fede-125"
6274,"fede-132"
6286,"fede-248"
6287,"fede-604"
6298,"fede-133"
6300,"fede-111"
6333,"fede-111"
6344,"fede-132"
6353,"fede-404"
6370,"fede-119"
6393,"fede-125"
6399,"fede-113"
6414,"fede-134"
6425,"fede-125"
6450,"fede-109"
6473,"fede-119"
6500,"fede-604"
6518,"fede-125"
6527,"fede-125"
6535,"fede-242"
6537,"fede-604"
6579,"fede-101"
6580,"fede-248"
6584,"fede-132"
6606,"fede-102"
6608,"fede-133"
6637,"fede-101"
6702,"fede-219"
6722,"fede-404"
6726,"fede-109"
6732,"fede-402"
6766,"fede-105"
6796,"fede-101"
6843,"fede-245"
6846,"fede-413"
6852,"fede-133"
6864,"fede-213"
6892,"fede-242"
6900,"fede-111"
6914,"fede-123"
6920,"fede-503"
6959,"fede-245"
6960,"fede-245"
6980,"fede-115"
6988,"fede-119"
7000,"fede-206"
7002,"fede-420"
7007,"fede-242"
7012,"fede-103"
7023,"fede-413"
7047,"fede-404"
7064,"fede-402"
7086,"fede-119"
7092,"fede-403"
7096,"fede-604"
7108,"fede-404"
7131,"fede-115"
7144,"fede-605"
7153,"fede-111"
7199,"fede-402"
7206,"fede-213"
7220,"fede-402"
7237,"fede-109"
7242,"fede-604"
7257,"fede-248"
7276,"fede-115"
7294,"fede-123"
7339,"fede-245"
7349,"fede-205"
7359,"fede-135"
7364,"fede-132"
7391,"fede-101"
7393,"fede-128"
7431,"fede-601"
7435,"fede-123"
7436,"fede-245"
7469,"fede-111"
7473,"fede-403"
7485,"fede-501"
7514,"fede-601"
7543,"fede-245"
7549,"fede-602"
7625,"fede-119"
7630,"fede-105"
7654,"fede-134"
7702,"fede-404"
7710,"fede-132"
7720,"fede-109"
7732,"fede-410"
7763,"fede-413"
7775,"fede-202"
7785,"fede-413"
7802,"fede-218"
7805,"fede-119"
7814,"fede-127"
7833,"fede-117"
7853,"fede-105"
7856,"fede-402"
7867,"fede-407"
7887,"fede-111"
7928,"fede-111"
7944,"fede-125"
7952,"fede-111"
7960,"fede-245"
7961,"fede-245"
7974,"fede-401"
7978,"fede-109"
7991,"fede-403"
8005,"fede-117"
8020,"fede-403"
8026,"fede-245"
8027,"fede-111"
8038,"fede-205"
8039,"fede-242"
8058,"fede-111"
8063,"fede-402"
8079,"fede-133"
8085,"fede-133"
8087,"fede-125"
8088,"fede-126"
8119,"fede-242"
8160,"fede-402"
8162,"fede-117"
8169,"fede-132"
8174,"fede-126"
8176,"fede-402"
8180,"fede-111"
8192,"fede-105"
8195,"fede-103"
8205,"fede-103"
8215,"fede-420"
8216,"fede-128"
8221,"fede-132"
8224,"fede-101"
8257,"fede-403"
8262,"fede-111"
8264,"fede-242"
8266,"fede-132"
8268,"fede-132"
8296,"fede-257"
8297,"fede-242"
8298,"fede-402"
8307,"fede-218"
8351,"fede-133"
8376,"fede-125"
8414,"fede-111"
8418,"fede-125"
8426,"fede-125"
8438,"fede-218"
8447,"fede-123"
8448,"fede-111"
8459,"fede-221"
8470,"fede-245"
8481,"fede-219"
8510,"fede-221"
8521,"fede-132"
8528,"fede-257"
8550,"fede-123"
8553,"fede-410"
8559,"fede-242"
8578,"fede-111"
8588,"fede-111"
8605,"fede-109"
8671,"fede-242"
8679,"fede-120"
8707,"fede-113"
8711,"fede-108"
8719,"fede-109"
8724,"fede-109"
8726,"fede-501"
8732,"fede-245"
8740,"fede-604"
8780,"fede-403"
8800,"fede-221"
8818,"fede-125"
8823,"fede-111"
8827,"fede-407"
8831,"fede-242"
8864,"fede-101"
8873,"fede-135"
8881,"fede-111"
8884,"fede-250"
8886,"fede-111"
8891,"fede-101"
8925,"fede-420"
8943,"fede-407"
8996,"fede-111"
9017,"fede-407"
9018,"fede-123"
9031,"fede-242"
9053,"fede-125"
9064,"fede-109"
9078,"fede-109"
9086,"fede-110"
9114,"fede-245"
9116,"fede-133"
9134,"fede-420"
9152,"fede-111"
9155,"fede-119"
9191,"fede-117"
9194,"fede-111"
9209,"fede-602"
9212,"fede-420"
9231,"fede-402"
9283,"fede-101"
9290,"fede-245"
9310,"fede-119"
9320,"fede-221"
9345,"fede-111"
9362,"fede-111"
9399,"fede-410"
9401,"fede-602"
9408,"fede-113"
9411,"fede-132"
9449,"fede-101"
9482,"fede-228"
9502,"fede-602"
9541,"fede-602"
9547,"fede-245"
9566,"fede-420"
9581,"fede-420"
9596,"fede-602"
9619,"fede-111"
9643,"fede-111"
9653,"fede-242"
9696,"fede-102"
9705,"fede-101"
9711,"fede-601"
9743,"fede-403"
9753,"fede-134"
9762,"fede-602"
9778,"fede-603"
9835,"fede-402"
9876,"fede-132"
9878,"fede-128"
9880,"fede-410"
9915,"fede-111"
9916,"fede-410"
9944,"fede-221"
9982,"fede-221"
10009,"fede-125"
10019,"fede-245"
10040,"fede-404"
10089,"fede-123"
10111,"fede-206"
10143,"fede-602"
10169,"fede-402"
10183,"fede-132"
10252,"fede-112"
10270,"fede-602"
10284,"fede-221"
10285,"fede-111"
10312,"fede-212"
10362,"fede-111"
10387,"fede-119"
10409,"fede-123"
10427,"fede-105"
10459,"fede-125"
10481,"fede-101"
10538,"fede-218"
10544,"fede-602"
10545,"fede-602"
10552,"fede-602"
10562,"fede-123"
10563,"fede-601"
10567,"fede-503"
10571,"fede-134"
10581,"fede-266"
10606,"fede-119"
10630,"fede-501"
10634,"fede-136"
10662,"fede-115"
10665,"fede-103"
10709,"fede-218"
10712,"fede-114"
10719,"fede-117"
10750,"fede-128"
10759,"fede-132"
10794,"fede-123"
10801,"fede-105"
10827,"fede-112"
10848,"fede-420"
10855,"fede-123"
10860,"fede-123"
10862,"fede-213"
10871,"fede-111"
10873,"fede-105"
10874,"fede-134"
10900,"fede-101"
10906,"fede-115"
10911,"fede-403"
10941,"fede-133"
10946,"fede-125"
10947,"fede-604"
10951,"fede-111"
10963,"fede-420"
10975,"fede-111"
10978,"fede-407"
11008,"fede-410"
11017,"fede-602"
11023,"fede-109"
11055,"fede-404"
11057,"fede-111"
11065,"fede-111"
11098,"fede-417"
11106,"fede-602"
11126,"fede-602"
11138,"fede-105"
11151,"fede-105"
11155,"fede-602"
11156,"fede-233"
11174,"fede-402"
11194,"fede-123"
11197,"fede-413"
11209,"fede-410"
11220,"fede-604"
11227,"fede-602"
11252,"fede-407"
11254,"fede-221"
11255,"fede-136"
11260,"fede-111"
11303,"fede-119"
11312,"fede-245"
11318,"fede-111"
11320,"fede-111"
11336,"fede-503"
11337,"fede-503"
11346,"fede-111"
11348,"fede-410"
11349,"fede-413"
11374,"fede-128"
11378,"fede-109"
11379,"fede-103"
11381,"fede-111"
11393,"fede-109"
11413,"fede-117"
11418,"fede-132"
11442,"fede-111"
11458,"fede-128"
11471,"fede-605"
11502,"fede-245"
11522,"fede-111"
11539,"fede-404"
11549,"fede-258"
11552,"fede-133"
11563,"fede-402"
11572,"fede-402"
11574,"fede-404"
11577,"fede-242"
11589,"fede-402"
11598,"fede-218"
11624,"fede-111"
11627,"fede-111"
11637,"fede-125"
11650,"fede-402"
11652,"fede-404"
11656,"fede-404"
11724,"fede-110"
11740,"fede-103"
11746,"fede-111"
11790,"fede-115"
11814,"fede-258"
11852,"fede-402"
11862,"fede-242"
11870,"fede-402"
11875,"fede-267"
11901,"fede-402"
11921,"fede-126"
11925,"fede-413"
11929,"fede-115"
11942,"fede-249"
11945,"fede-245"
11956,"fede-108"
11960,"fede-242"
11989,"fede-245"
12025,"fede-218"
12030,"fede-402"
12060,"fede-413"
12062,"fede-111"
12063,"fede-134"
12083,"fede-413"
12111,"fede-407"
12119,"fede-242"
12121,"fede-105"
12136,"fede-132"
12148,"fede-413"
12149,"fede-242"
12193,"fede-132"
12200,"fede-245"
12203,"fede-218"
12222,"fede-136"
12225,"fede-133"
12229,"fede-202"
12251,"fede-249"
12306,"fede-109"
12323,"fede-402"
12329,"fede-126"
12339,"fede-125"
12364,"fede-252"
12398,"fede-413"
12410,"fede-125"
12440,"fede-242"
12448,"fede-111"
12462,"fede-123"
12476,"fede-202"
12478,"fede-132"
12483,"fede-127"
12485,"fede-109"
12496,"fede-420"
12554,"fede-242"
12564,"fede-202"
12574,"fede-407"
12584,"fede-204"
12591,"fede-402"
12614,"fede-133"
12648,"fede-103"
12670,"fede-111"
12704,"fede-242"
12723,"fede-103"
12733,"fede-254"
12750,"fede-413"
12768,"fede-135"
12769,"fede-604"
12869,"fede-420"
12902,"fede-410"
12903,"fede-109"
12929,"fede-242"
12942,"fede-137"
12943,"fede-101"
12946,"fede-218"
12951,"fede-122"
12954,"fede-402"
12977,"fede-209"
12989,"fede-233"
13003,"fede-407"
13008,"fede-420"
13014,"fede-129"
13052,"fede-604"
13070,"fede-123"
13100,"fede-101"
13128,"fede-111"
13134,"fede-111"
13168,"fede-123"
13206,"fede-252"
13212,"fede-501"
13226,"fede-115"
13255,"fede-111"
13256,"fede-113"
13284,"fede-124"
13295,"fede-111"
13327,"fede-206"
13355,"fede-124"
13356,"fede-126"
13366,"fede-604"
13367,"fede-118"
13374,"fede-402"
13380,"fede-119"
13405,"fede-111"
13420,"fede-113"
13436,"fede-604"
13441,"fede-115"
13444,"fede-201"
13471,"fede-115"
13500,"fede-135"
13503,"fede-111"
13504,"fede-115"
13512,"fede-102"
13546,"fede-242"
13557,"fede-402"
13567,"fede-113"
13582,"fede-503"
13612,"fede-115"
13619,"fede-115"
13626,"fede-413"
13655,"fede-403"
13678,"fede-111"
13682,"fede-115"
13692,"fede-123"
13722,"fede-413"
13734,"fede-133"
13738,"fede-111"
13745,"fede-103"
13749,"fede-245"
13754,"fede-413"
13787,"fede-604"
13793,"fede-110"
13801,"fede-111"
13808,"fede-119"
13816,"fede-134"
13821,"fede-242"
13836,"fede-133"
13850,"fede-111"
13857,"fede-413"
13872,"fede-124"
13914,"fede-413"
13917,"fede-242"
13928,"fede-133"
13936,"fede-111"
13966,"fede-133"
13967,"fede-111"
13971,"fede-111"
13973,"fede-111"
14002,"fede-218"
14015,"fede-242"
14039,"fede-402"
14044,"fede-402"
14050,"fede-101"
14058,"fede-101"
14083,"fede-133"
14104,"fede-402"
14148,"fede-108"
14158,"fede-119"
14191,"fede-407"
14192,"fede-115"
14194,"fede-124"
14197,"fede-111"
14200,"fede-101"
14205,"fede-127"
14214,"fede-217"
14227,"fede-111"
14229,"fede-264"
14255,"fede-127"
14260,"fede-129"
14271,"fede-105"
14275,"fede-402"
14287,"fede-111"
14326,"fede-135"
14343,"fede-117"
14377,"fede-242"
14395,"fede-109"
14425,"fede-127"
14429,"fede-134"
14441,"fede-101"
14449,"fede-601"
14454,"fede-123"
14455,"fede-125"
14465,"fede-402"
14471,"fede-111"
14527,"fede-420"
14532,"fede-417"
14539,"fede-125"
14600,"fede-123"
14604,"fede-115"
14608,"fede-245"
14622,"fede-109"
14626,"fede-206"
14627,"fede-402"
14634,"fede-245"
14664,"fede-407"
14669,"fede-420"
14672,"fede-124"
14691,"fede-117"
14711,"fede-132"
14729,"fede-134"
14752,"fede-119"
14777,"fede-403"
14803,"fede-245"
14807,"fede-257"
14818,"fede-601"
14861,"fede-218"
14864,"fede-108"
14880,"fede-420"
14883,"fede-111"
14908,"fede-410"
14915,"fede-604"
14919,"fede-219"
14926,"fede-105"
14927,"fede-211"
14960,"fede-111"
14972,"fede-403"
14986,"fede-111"
14993,"fede-111"
15003,"fede-403"
15014,"fede-135"
15016,"fede-602"
15024,"fede-403"
15025,"fede-111"
15073,"fede-405"
15139,"fede-245"
15161,"fede-102"
15182,"fede-410"
15183,"fede-111"
15198,"fede-249"
15200,"fede-601"
15223,"fede-403"
15238,"fede-136"
15249,"fede-117"
15298,"fede-604"
15303,"fede-109"
15308,"fede-128"
15316,"fede-111"
15324,"fede-101"
15334,"fede-111"
15335,"fede-111"
15393,"fede-132"
15407,"fede-109"
15432,"fede-109"
15434,"fede-129"
15446,"fede-403"
15454,"fede-420"
15462,"fede-111"
15465,"fede-218"
15499,"fede-133"
15502,"fede-218"
15510,"fede-128"
15518,"fede-126"
15559,"fede-109"
15567,"fede-221"
15569,"fede-111"
15586,"fede-245"
15617,"fede-242"
15619,"fede-233"
15624,"fede-136"
15626,"fede-202"
15630,"fede-221"
15658,"fede-111"
15670,"fede-111"
15673,"fede-221"
15689,"fede-403"
15711,"fede-111"
15713,"fede-413"
15743,"fede-125"
15778,"fede-111"
15779,"fede-403"
15791,"fede-111"
15809,"fede-103"
15812,"fede-420"
15817,"fede-402"
15826,"fede-245"
15827,"fede-243"
15849,"fede-413"
15863,"fede-403"
15870,"fede-420"
15874,"fede-115"
15877,"fede-125"
15940,"fede-233"
15949,"fede-125"
15967,"fede-212"
15974,"fede-119"
15979,"fede-133"
15984,"fede-415"
15985,"fede-605"
15997,"fede-503"
16024,"fede-403"
16028,"fede-604"
16039,"fede-115"
16043,"fede-111"
16060,"fede-117"
16124,"fede-201"
16134,"fede-413"
16164,"fede-413"
16180,"fede-267"
16185,"fede-605"
16192,"fede-233"
16193,"fede-245"
16232,"fede-243"
16248,"fede-218"
16265,"fede-111"
16279,"fede-115"
16282,"fede-111"
16288,"fede-413"
16289,"fede-109"
16294,"fede-604"
16316,"fede-132"
16325,"fede-413"
16333,"fede-111"
16337,"fede-219"
16353,"fede-125"
16380,"fede-111"
16400,"fede-109"
16429,"fede-212"
16445,"fede-105"
16463,"fede-125"
16536,"fede-132"
16539,"fede-420"
16556,"fede-123"
16574,"fede-604"
16616,"fede-209"
16623,"fede-123"
16628,"fede-103"
16650,"fede-242"
16654,"fede-117"
16658,"fede-111"
16667,"fede-267"
16679,"fede-242"
16701,"fede-604"
16712,"fede-413"
16718,"fede-402"
16719,"fede-267"
16723,"fede-604"
16730,"fede-133"
16731,"fede-503"
16732,"fede-242"
16734,"fede-111"
16736,"fede-132"
16747,"fede-202"
16753,"fede-124"
16758,"fede-133"
16770,"fede-117"
16781,"fede-604"
16819,"fede-136"
16829,"fede-410"
16835,"fede-111"
16874,"fede-245"
16903,"fede-404"
16926,"fede-258"
16938,"fede-503"
16940,"fede-137"
16971,"fede-206"
16973,"fede-249"
16985,"fede-115"
17033,"fede-402"
17047,"fede-109"
17073,"fede-111"
17074,"fede-117"
17092,"fede-111"
17112,"fede-108"
17127,"fede-111"
17134,"fede-401"
17148,"fede-245"
17167,"fede-125"
17177,"fede-201"
17193,"fede-123"
17214,"fede-602"
17253,"fede-243"
17289,"fede-109"
17297,"fede-605"
17344,"fede-115"
17346,"fede-403"
17353,"fede-604"
17358,"fede-124"
17376,"fede-245"
17388,"fede-134"
17389,"fede-125"
17394,"fede-402"
17402,"fede-404"
17403,"fede-113"
17412,"fede-113"
17416,"fede-404"
17419,"fede-107"
17424,"fede-604"
17454,"fede-101"
17493,"fede-117"
17505,"fede-124"
17529,"fede-221"
17532,"fede-111"
17534,"fede-115"
17547,"fede-221"
17553,"fede-605"
17576,"fede-111"
17578,"fede-404"
17587,"fede-111"
17588,"fede-132"
17615,"fede-111"
17616,"fede-501"
17659,"fede-111"
17679,"fede-245"
17694,"fede-103"
17695,"fede-602"
17708,"fede-242"
17713,"fede-117"
17732,"fede-602"
17742,"fede-402"
17752,"fede-111"
17761,"fede-132"
17772,"fede-218"
17803,"fede-602"
17804,"fede-222"
17809,"fede-107"
17816,"fede-125"
17819,"fede-123"
17823,"fede-245"
17844,"fede-413"
17846,"fede-221"
17987,"fede-101"
17992,"fede-111"
17996,"fede-125"
18000,"fede-105"
18004,"fede-101"
18017,"fede-218"
18032,"fede-105"
18049,"fede-602"
18060,"fede-420"
18087,"fede-402"
18100,"fede-133"
18103,"fede-135"
18125,"fede-211"
18132,"fede-602"
18136,"fede-218"
18147,"fede-125"
18149,"fede-401"
18169,"fede-245"
18195,"fede-413"
18223,"fede-245"
18232,"fede-123"
18236,"fede-211"
18241,"fede-132"
18253,"fede-604"
18254,"fede-242"
18282,"fede-402"
18304,"fede-105"
18312,"fede-211"
18331,"fede-209"
18334,"fede-123"
18337,"fede-402"
18381,"fede-111"
18400,"fede-132"
18412,"fede-403"
18416,"fede-117"
18429,"fede-133"
18432,"fede-135"
18472,"fede-106"
18475,"fede-402"
18488,"fede-242"
18501,"fede-108"
18507,"fede-604"
18535,"fede-109"
18557,"fede-112"
18559,"fede-403"
18569,"fede-126"
18584,"fede-132"
18588,"fede-134"
18593,"fede-124"
18610,"fede-402"
18614,"fede-111"
18634,"fede-245"
18661,"fede-252"
18669,"fede-125"
18677,"fede-245"
18716,"fede-111"
18727,"fede-106"
18738,"fede-109"
18742,"fede-233"
18753,"fede-136"
18769,"fede-101"
18826,"fede-123"
18848,"fede-111"
18860,"fede-402"
18885,"fede-111"
18891,"fede-211"
18913,"fede-233"
18917,"fede-123"
18926,"fede-212"
18942,"fede-123"
18963,"fede-407"
18964,"fede-129"
18965,"fede-129"
18974,"fede-101"
18975,"fede-105"
18990,"fede-111"
18992,"fede-403"
18999,"fede-218"
19004,"fede-134"
19007,"fede-124"
19012,"fede-111"
19016,"fede-109"
19077,"fede-134"
19084,"fede-132"
19098,"fede-132"
19099,"fede-126"
19106,"fede-604"
19109,"fede-109"
19112,"fede-119"
19129,"fede-119"
19138,"fede-127"
19159,"fede-111"
19182,"fede-133"
19211,"fede-258"
19257,"fede-117"
19266,"fede-117"
19293,"fede-413"
19305,"fede-111"
19308,"fede-111"
19320,"fede-237"
19353,"fede-123"
19365,"fede-413"
19376,"fede-420"
19378,"fede-101"
19380,"fede-245"
19385,"fede-604"
19394,"fede-123"
19428,"fede-101"
19429,"fede-604"
19434,"fede-123"
19440,"fede-105"
19449,"fede-403"
19462,"fede-402"
19489,"fede-123"
19503,"fede-111"
19534,"fede-242"
19573,"fede-103"
19608,"fede-402"
19636,"fede-605"
19667,"fede-119"
19679,"fede-402"
19701,"fede-111"
19707,"fede-111"
19716,"fede-115"
19732,"fede-402"
19737,"fede-111"
19739,"fede-604"
19740,"fede-133"
19745,"fede-111"
19804,"fede-413"
19823,"fede-103"
19843,"fede-267"
19927,"fede-117"
19931,"fede-109"
19934,"fede-115"
19939,"fede-119"
19943,"fede-410"
19951,"fede-111"
19991,"fede-111"
20023,"fede-221"
20033,"fede-604"
20044,"fede-413"
20049,"fede-219"
20054,"fede-413"
20067,"fede-111"
20085,"fede-134"
20118,"fede-111"
20133,"fede-111"
20145,"fede-602"
20209,"fede-115"
20210,"fede-121"
20218,"fede-503"
20223,"fede-128"
20244,"fede-249"
20245,"fede-602"
20267,"fede-242"
20289,"fede-111"
20307,"fede-113"
20314,"fede-137"
20327,"fede-101"
20341,"fede-245"
20348,"fede-403"
20357,"fede-111"
20361,"fede-602"
20416,"fede-403"
20420,"fede-403"
20425,"fede-242"
20440,"fede-128"
20450,"fede-111"
20464,"fede-105"
20474,"fede-111"
20475,"fede-410"
20519,"fede-128"
20532,"fede-410"
20535,"fede-242"
20543,"fede-101"
20547,"fede-410"
20555,"fede-402"
20584,"fede-407"
20603,"fede-115"
20610,"fede-205"
20612,"fede-128"
20627,"fede-135"
20651,"fede-109"
20664,"fede-209"
20674,"fede-602"
20690,"fede-111"
20693,"fede-602"
20699,"fede-111"
20717,"fede-403"
20721,"fede-403"
20736,"fede-410"
20776,"fede-242"
20788,"fede-114"
20806,"fede-111"
20810,"fede-109"
20812,"fede-602"
20847,"fede-602"
20866,"fede-410"
20873,"fede-115"
20901,"fede-127"
20929,"fede-127"
20934,"fede-117"
20938,"fede-242"
20945,"fede-420"
20949,"fede-407"
20962,"fede-111"
20963,"fede-602"
20979,"fede-109"
20990,"fede-261"
21021,"fede-111"
21025,"fede-402"
21050,"fede-108"
21075,"fede-105"
21078,"fede-111"
21080,"fede-604"
21093,"fede-111"
21105,"fede-115"
21121,"fede-132"
21125,"fede-221"
21130,"fede-242"
21131,"fede-221"
21143,"fede-101"
21146,"fede-245"
21152,"fede-126"
21180,"fede-111"
21219,"fede-604"
21240,"fede-111"
21248,"fede-114"
21252,"fede-602"
