PRIMARY_KEY,Former_occupation_42,Former_emp,retirement_age
1811,"csp_6_4","temp-1-6",61
1813,"csp_5_5","temp-1-6",60
1822,"csp_6_3","temp-1-6",60
1825,"csp_5_4","temp-1-3",60
1839,"csp_5_2","temp-1-6",60
1840,"csp_4_2","temp-1-6",59
1847,"csp_5_4","temp-1-6",55
1849,"csp_3_8","temp-1-6",67
1850,"csp_6_5","temp-1-6",60
1853,"csp_6_8","temp-1-6",60
1856,"csp_3_1","temp-2-2",60
1864,"csp_3_7","temp-1-6",65
1872,"csp_5_2","temp-1-6",58
1878,"csp_5_6","temp-1-6",57
1887,"csp_5_6","temp-1-6",60
1911,"csp_3_7","temp-1-6",60
1919,"csp_4_5","temp-1-6",60
1928,"csp_5_2","temp-1-6",60
1930,"csp_3_8","temp-1-6",60
1931,"csp_5_2","temp-1-6",64
1936,"csp_6_8","temp-1-5",64
1938,"csp_4_6","temp-1-6",61
1952,"csp_2_2","temp-2-2",65
1954,"csp_6_2","temp-1-6",60
1974,"csp_6_7","temp-1-6",60
1981,"csp_5_6","temp-1-6",65
1988,"csp_6_7","temp-1-6",58
1993,"csp_5_2","temp-1-6",60
1999,"csp_5_2","temp-1-6",58
2023,"csp_6_7","temp-1-6",60
2032,"csp_2_1","temp-2-2",60
2040,"csp_4_2","temp-2-1",64
2043,"csp_5_2","temp-1-6",60
2047,"csp_6_4","temp-1-6",60
2051,"csp_5_5","temp-1-6",60
2059,"csp_6_3","temp-1-6",62
2061,"csp_5_6","temp-1-6",55
2063,"csp_5_6","temp-1-6",60
2069,"csp_1_1","temp-2-1",60
2091,"csp_5_6","temp-1-6",63
2095,"csp_6_4","temp-1-6",63
2104,"csp_5_2","temp-1-6",58
2122,"csp_5_2","temp-1-6",60
2143,"csp_5_6","temp-1-5",65
2147,"csp_6_2","temp-1-6",60
2155,"csp_5_5","temp-1-5",60
2156,"csp_4_6","temp-1-6",60
2158,"csp_3_4","temp-1-6",60
2161,"csp_5_2","temp-1-6",55
2168,"csp_5_4","temp-1-5",60
2169,"csp_5_4","temp-1-6",60
2170,"csp_5_6","temp-1-6",60
2174,"csp_4_2","temp-1-6",58
2178,"csp_5_6","temp-1-6",60
2182,"csp_4_6","temp-1-6",60
2194,"csp_6_2","temp-1-6",59
2198,"csp_6_8","temp-1-6",60
2205,"csp_5_6","temp-1-5",65
2207,"csp_6_8","temp-1-6",60
2211,"csp_4_8","temp-1-6",59
2222,"csp_4_7","temp-1-6",59
2232,"csp_5_2","temp-1-6",60
2234,"csp_2_2","temp-2-2",68
2235,"csp_6_4","temp-1-6",59
2238,"csp_5_6","temp-1-6",60
2249,"csp_5_4","temp-1-6",60
2266,"csp_5_6","temp-1-6",62
2268,"csp_5_2","temp-1-6",52
2274,"csp_6_3","temp-1-6",60
2278,"csp_4_7","temp-1-6",60
2284,"csp_2_1","temp-2-2",60
2289,"csp_5_6","temp-1-5",61
2291,"csp_4_3","temp-2-1",61
2304,"csp_6_8","temp-1-6",65
2312,"csp_5_5","temp-1-2",60
2318,"csp_5_4","temp-1-6",65
2332,"csp_4_3","temp-1-6",65
2335,"csp_2_2","temp-2-2",64
2358,"csp_6_3","temp-1-6",60
2365,"csp_3_8","temp-1-6",64
2368,"csp_2_3","temp-2-2",60
2373,"csp_5_2","temp-1-6",60
2392,"csp_6_3","temp-1-6",65
2399,"csp_3_4","temp-1-6",60
2432,"csp_4_2","temp-1-6",63
2433,"csp_2_2","temp-2-2",60
2436,"csp_5_2","temp-1-6",60
2445,"csp_4_6","temp-1-6",60
2449,"csp_6_5","temp-1-6",62
2465,"csp_5_2","temp-1-6",61
2467,"csp_4_6","temp-1-6",59
2469,"csp_1_1","temp-2-1",65
2477,"csp_6_7","temp-1-6",61
2487,"csp_5_6","temp-1-6",60
2488,"csp_5_2","temp-1-6",63
2493,"csp_3_8","temp-1-6",60
2512,"csp_1_1","temp-2-1",60
2525,"csp_5_2","temp-1-6",63
2527,"csp_5_4","temp-1-6",60
2529,"csp_4_6","temp-1-6",60
2532,"csp_3_3","temp-1-6",61
2561,"csp_4_7","temp-1-6",60
2566,"csp_4_2","temp-1-6",65
2575,"csp_6_8","temp-1-6",66
2580,"csp_6_3","temp-1-6",60
2582,"csp_3_4","temp-1-5",65
2586,"csp_5_4","temp-1-6",59
2589,"csp_4_3","temp-2-2",60
2592,"csp_3_4","temp-1-6",62
2596,"csp_5_2","temp-1-6",60
2603,"csp_5_4","temp-1-6",63
2608,"csp_3_8","temp-1-6",64
2611,"csp_4_8","temp-1-6",60
2615,"csp_5_4","temp-1-6",65
2616,"csp_4_6","temp-1-6",59
2619,"csp_6_2","temp-1-6",60
2627,"csp_2_2","temp-2-2",61
2635,"csp_3_1","temp-2-1",61
2664,"csp_6_2","temp-1-6",60
2677,"csp_5_4","temp-1-6",64
2691,"csp_4_6","temp-1-6",60
2695,"csp_5_2","temp-1-6",65
2713,"csp_5_4","temp-1-6",63
2742,"csp_4_2","temp-1-6",55
2755,"csp_4_7","temp-1-6",63
2759,"csp_2_2","temp-2-1",60
2764,"csp_5_4","temp-1-6",60
2773,"csp_6_3","temp-1-6",60
2776,"csp_4_6","temp-1-6",60
2783,"csp_5_6","temp-1-6",60
2785,"csp_4_5","temp-1-6",61
2786,"csp_6_7","temp-1-6",60
2818,"csp_6_2","temp-1-6",64
2819,"csp_4_7","temp-1-6",62
2830,"csp_5_2","temp-1-6",60
2831,"csp_5_6","temp-1-6",65
2838,"csp_5_6","temp-1-6",58
2845,"csp_2_3","temp-2-2",60
2847,"csp_5_2","temp-1-6",61
2851,"csp_5_5","temp-1-6",63
2852,"csp_6_3","temp-1-6",65
2862,"csp_3_8","temp-1-6",56
2863,"csp_4_6","temp-1-6",64
2873,"csp_4_7","temp-1-6",60
2881,"csp_3_8","temp-1-6",62
2886,"csp_6_3","temp-1-6",63
2903,"csp_5_4","temp-1-6",60
2906,"csp_5_4","temp-1-6",64
2911,"csp_3_4","temp-1-6",60
2913,"csp_5_6","temp-1-5",60
2914,"csp_6_9","temp-1-6",60
2915,"csp_5_2","temp-1-6",60
2930,"csp_6_4","temp-1-6",65
2940,"csp_4_2","temp-1-6",60
2948,"csp_5_4","temp-1-6",60
2961,"csp_3_3","temp-1-6",60
2976,"csp_6_3","temp-1-6",57
2981,"csp_4_3","temp-1-6",65
2985,"csp_4_6","temp-1-6",60
2994,"csp_5_2","temp-1-6",61
3004,"csp_5_4","temp-1-6",60
3006,"csp_4_3","temp-1-6",60
3013,"csp_5_4","temp-1-6",60
3024,"csp_4_3","temp-1-6",60
3025,"csp_1_1","temp-2-1",60
3030,"csp_3_8","temp-1-6",61
3037,"csp_5_5","temp-1-6",65
3040,"csp_5_4","temp-1-6",65
3062,"csp_3_7","temp-1-6",60
3063,"csp_5_2","temp-1-6",60
3065,"csp_6_2","temp-1-6",57
3066,"csp_6_4","temp-1-6",57
3069,"csp_5_2","temp-1-5",60
3075,"csp_5_4","temp-1-5",65
3081,"csp_6_5","temp-1-6",60
3086,"csp_5_4","temp-1-6",63
3089,"csp_5_2","temp-1-6",52
3092,"csp_4_5","temp-1-6",60
3099,"csp_5_4","temp-1-6",55
3102,"csp_4_5","temp-1-6",65
3104,"csp_4_8","temp-1-6",60
3106,"csp_3_7","temp-1-6",57
3119,"csp_5_2","temp-1-6",60
3122,"csp_6_2","temp-1-6",58
3123,"csp_5_2","temp-1-5",60
3133,"csp_2_2","temp-2-1",60
3137,"csp_4_2","temp-1-6",59
3141,"csp_3_5","temp-2-1",62
3172,"csp_4_2","temp-1-6",63
3183,"csp_4_5","temp-1-6",57
3184,"csp_2_2","temp-2-2",65
3189,"csp_4_2","temp-1-6",65
3190,"csp_4_2","temp-1-5",63
3198,"csp_4_3","temp-1-6",58
3200,"csp_5_2","temp-1-6",53
3205,"csp_5_2","temp-1-6",60
3215,"csp_5_5","temp-1-6",61
3219,"csp_3_7","temp-1-6",60
3240,"csp_5_2","temp-1-6",60
3242,"csp_5_6","temp-1-5",62
3243,"csp_6_7","temp-1-6",60
3251,"csp_5_2","temp-1-6",63
3255,"csp_5_4","temp-1-5",65
3257,"csp_2_1","temp-2-3",60
3259,"csp_2_2","temp-2-1",65
3273,"csp_5_4","temp-1-6",60
3276,"csp_5_2","temp-1-6",60
3277,"csp_4_2","temp-2-1",61
3282,"csp_2_1","temp-2-1",60
3298,"csp_4_3","temp-1-6",60
3314,"csp_4_2","temp-1-5",64
3330,"csp_3_7","temp-1-6",60
3335,"csp_6_8","temp-1-6",60
3343,"csp_5_2","temp-1-6",60
3351,"csp_5_2","temp-1-6",65
3358,"csp_6_2","temp-1-6",61
3365,"csp_3_4","temp-1-6",60
3376,"csp_3_3","temp-1-6",60
3382,"csp_4_2","temp-1-6",65
3385,"csp_3_7","temp-1-6",60
3394,"csp_3_7","temp-1-6",55
3399,"csp_5_2","temp-1-6",54
3407,"csp_5_2","temp-1-6",60
3408,"csp_5_2","temp-1-6",60
3419,"csp_4_3","temp-2-1",64
3443,"csp_6_7","temp-1-6",60
3445,"csp_4_6","temp-1-6",64
3453,"csp_4_6","temp-1-6",65
3454,"csp_3_7","temp-1-6",60
3462,"csp_5_2","temp-1-6",60
3469,"csp_2_2","temp-2-1",65
3470,"csp_6_7","temp-1-6",65
3483,"csp_4_7","temp-1-6",60
3486,"csp_3_8","temp-1-6",60
3493,"csp_3_5","temp-1-6",57
3502,"csp_6_3","temp-1-6",60
3509,"csp_5_4","temp-1-6",60
3519,"csp_3_3","temp-1-6",60
3529,"csp_5_2","temp-1-6",64
3541,"csp_2_1","temp-2-1",60
3550,"csp_5_4","temp-1-6",57
3555,"csp_1_1","temp-2-1",60
3558,"csp_3_7","temp-1-6",58
3568,"csp_5_6","temp-1-6",65
3573,"csp_4_6","temp-1-6",60
3600,"csp_5_6","temp-1-6",60
3602,"csp_5_4","temp-1-6",60
3603,"csp_5_2","temp-1-6",60
3612,"csp_6_8","temp-1-6",60
3613,"csp_6_7","temp-1-6",60
3614,"csp_5_2","temp-1-6",60
3619,"csp_3_7","temp-1-6",60
3620,"csp_2_1","temp-2-1",60
3624,"csp_6_3","temp-1-6",60
3626,"csp_6_7","temp-1-6",62
3629,"csp_5_6","temp-1-5",50
3636,"csp_5_4","temp-1-6",60
3644,"csp_5_4","temp-1-6",60
3651,"csp_5_6","temp-1-6",60
3654,"csp_4_2","temp-1-6",56
3656,"csp_2_1","temp-2-1",60
3661,"csp_5_6","temp-1-5",60
3669,"csp_5_2","temp-1-6",60
3672,"csp_3_1","temp-2-1",58
3679,"csp_2_1","temp-2-1",60
3684,"csp_6_5","temp-1-6",60
3690,"csp_4_8","temp-1-6",63
3694,"csp_5_2","temp-1-6",64
3697,"csp_2_2","temp-2-2",65
3710,"csp_4_3","temp-1-6",65
3719,"csp_2_1","temp-2-1",60
3721,"csp_4_5","temp-1-6",63
3722,"csp_4_5","temp-1-6",60
3727,"csp_5_6","temp-1-6",65
3732,"csp_5_4","temp-1-6",60
3733,"csp_2_3","temp-2-2",60
3739,"csp_4_6","temp-1-6",60
3741,"csp_3_4","temp-1-6",68
3747,"csp_6_7","temp-1-6",62
3754,"csp_5_6","temp-1-6",60
3759,"csp_2_2","temp-2-1",65
3761,"csp_4_3","temp-1-5",65
3771,"csp_5_4","temp-1-6",57
3775,"csp_3_7","temp-1-6",60
3781,"csp_5_6","temp-1-6",60
3792,"csp_6_3","temp-1-6",60
3797,"csp_4_3","temp-1-6",60
3798,"csp_5_4","temp-1-6",60
3810,"csp_5_2","temp-1-6",58
3813,"csp_3_8","temp-1-6",60
3814,"csp_2_2","temp-2-1",60
3825,"csp_6_3","temp-1-6",60
3826,"csp_3_4","temp-1-6",60
3836,"csp_4_8","temp-1-6",60
3839,"csp_6_8","temp-1-5",60
3859,"csp_5_2","temp-1-6",61
3880,"csp_3_7","temp-1-6",60
3888,"csp_3_5","temp-1-6",65
3905,"csp_6_3","temp-1-6",60
3912,"csp_4_6","temp-1-6",65
3918,"csp_6_4","temp-1-6",59
3922,"csp_5_6","temp-1-6",64
3924,"csp_4_3","temp-2-1",60
3929,"csp_6_8","temp-1-6",60
3931,"csp_6_4","temp-1-6",64
3933,"csp_4_3","temp-1-6",60
3944,"csp_5_2","temp-1-6",60
3954,"csp_5_4","temp-1-6",60
3960,"csp_6_4","temp-1-6",56
3972,"csp_5_6","temp-1-6",60
3976,"csp_5_6","temp-1-6",65
3986,"csp_5_5","temp-1-6",53
3989,"csp_3_8","temp-1-6",64
3995,"csp_6_3","temp-1-6",64
4033,"csp_4_6","temp-1-6",64
4035,"csp_5_5","temp-1-6",65
4036,"csp_6_5","temp-1-6",60
4048,"csp_6_8","temp-1-6",59
4049,"csp_6_7","temp-1-6",60
4052,"csp_6_4","temp-1-5",60
4059,"csp_2_2","temp-2-1",60
4071,"csp_5_6","temp-1-2",55
4080,"csp_3_8","temp-1-6",57
4081,"csp_5_2","temp-1-6",60
4086,"csp_5_2","temp-1-6",60
4109,"csp_5_3","temp-1-6",60
4128,"csp_2_2","temp-2-1",65
4143,"csp_5_2","temp-1-6",62
4149,"csp_3_1","temp-2-1",62
4150,"csp_3_8","temp-1-6",60
4179,"csp_4_2","temp-1-6",60
4180,"csp_4_3","temp-1-5",63
4192,"csp_5_2","temp-1-6",60
4216,"csp_5_2","temp-1-6",60
4219,"csp_4_6","temp-1-6",64
4233,"csp_4_5","temp-1-6",62
4234,"csp_4_6","temp-1-6",65
4235,"csp_5_6","temp-1-6",60
4244,"csp_6_4","temp-1-6",51
4246,"csp_6_2","temp-1-6",60
4265,"csp_2_2","temp-2-1",60
4270,"csp_5_4","temp-1-6",55
4276,"csp_3_1","temp-2-1",60
4285,"csp_1_1","temp-2-1",60
4297,"csp_5_2","temp-1-6",60
4308,"csp_5_2","temp-1-6",60
4317,"csp_5_6","temp-1-6",65
4335,"csp_2_2","temp-2-1",65
4336,"csp_5_2","temp-1-6",60
4341,"csp_5_4","temp-1-5",65
4350,"csp_4_3","temp-1-6",62
4355,"csp_4_6","temp-1-6",60
4357,"csp_6_2","temp-1-6",58
4359,"csp_5_5","temp-1-6",60
4368,"csp_4_2","temp-2-1",65
4373,"csp_3_4","temp-1-6",63
4377,"csp_4_7","temp-1-6",60
4433,"csp_5_5","temp-1-6",60
4439,"csp_5_2","temp-1-6",60
4442,"csp_5_2","temp-1-6",60
4445,"csp_6_7","temp-1-6",60
4458,"csp_4_5","temp-1-6",60
4463,"csp_3_3","temp-1-6",65
4492,"csp_4_3","temp-1-6",60
4494,"csp_4_7","temp-1-6",56
4509,"csp_2_1","temp-2-3",56
4510,"csp_4_6","temp-1-6",60
4516,"csp_5_4","temp-1-6",63
4529,"csp_2_2","temp-2-1",60
4533,"csp_4_3","temp-1-6",60
4552,"csp_3_4","temp-1-5",65
4555,"csp_4_3","temp-1-6",55
4568,"csp_2_2","temp-2-1",60
4576,"csp_3_7","temp-1-6",60
4588,"csp_6_7","temp-1-6",58
4591,"csp_6_2","temp-1-6",60
4601,"csp_6_7","temp-1-6",65
4606,"csp_4_3","temp-2-1",60
4610,"csp_5_2","temp-1-6",60
4658,"csp_4_8","temp-1-6",61
4659,"csp_5_5","temp-1-3",60
4665,"csp_5_6","temp-1-5",62
4673,"csp_2_2","temp-2-1",60
4677,"csp_6_7","temp-1-6",65
4687,"csp_3_3","temp-1-6",65
4691,"csp_6_7","temp-1-6",60
4706,"csp_6_3","temp-1-6",62
4707,"csp_4_3","temp-1-6",55
4718,"csp_4_6","temp-1-6",60
4724,"csp_6_9","temp-1-6",63
4735,"csp_6_2","temp-1-6",60
4745,"csp_5_4","temp-1-6",65
4747,"csp_5_4","temp-1-3",65
4753,"csp_6_2","temp-1-6",60
4759,"csp_3_4","temp-1-6",60
4776,"csp_5_2","temp-1-6",60
4783,"csp_5_4","temp-1-6",60
4785,"csp_6_2","temp-1-5",60
4801,"csp_4_3","temp-1-6",61
4804,"csp_6_3","temp-1-2",60
4807,"csp_6_2","temp-1-6",59
4808,"csp_5_2","temp-1-5",61
4826,"csp_6_8","temp-1-6",55
4834,"csp_5_6","temp-1-6",60
4845,"csp_4_8","temp-1-6",60
4846,"csp_4_6","temp-1-6",60
4873,"csp_6_2","temp-1-6",60
4874,"csp_2_3","temp-2-2",53
4879,"csp_6_7","temp-1-6",60
4884,"csp_4_6","temp-1-6",63
4891,"csp_3_1","temp-2-3",58
4895,"csp_4_7","temp-1-5",60
4896,"csp_4_7","temp-1-6",65
4897,"csp_5_6","temp-1-6",60
4909,"csp_5_2","temp-1-6",52
4913,"csp_4_6","temp-1-6",60
4921,"csp_6_4","temp-1-6",55
4925,"csp_2_2","temp-2-2",60
4935,"csp_6_8","temp-1-6",63
4937,"csp_5_5","temp-1-6",60
4938,"csp_5_3","temp-1-6",56
4947,"csp_4_6","temp-1-6",60
4948,"csp_3_7","temp-1-6",61
4950,"csp_5_6","temp-1-6",61
4952,"csp_6_8","temp-1-6",59
4961,"csp_5_2","temp-1-6",60
4966,"csp_6_5","temp-1-6",60
4968,"csp_2_2","temp-2-2",58
4979,"csp_4_6","temp-1-6",60
4980,"csp_2_2","temp-2-1",60
4989,"csp_6_7","temp-1-6",65
4996,"csp_4_6","temp-1-6",60
5018,"csp_1_1","temp-2-1",55
5020,"csp_6_7","temp-1-5",62
5023,"csp_6_4","temp-1-6",60
5027,"csp_4_3","temp-1-5",55
5038,"csp_5_4","temp-1-6",60
5039,"csp_3_7","temp-1-6",60
5047,"csp_4_2","temp-1-6",56
5050,"csp_4_2","temp-1-6",60
5053,"csp_4_7","temp-1-6",58
5058,"csp_6_3","temp-1-6",59
5064,"csp_6_2","temp-1-6",60
5065,"csp_2_1","temp-2-1",60
5078,"csp_4_7","temp-1-6",62
5095,"csp_6_2","temp-1-6",60
5100,"csp_5_2","temp-1-6",56
5109,"csp_4_8","temp-1-6",60
5111,"csp_5_2","temp-1-6",60
5112,"csp_5_5","temp-1-6",60
