PRIMARY_KEY,activity_sector,Former_dep,JOB_DEP,JOB_DESCRIPTION,CONTRACT_TYPE,JOB_CATEGORY,Job_condition,EMPLOYER_CATEGORY,WORKING_HOURS,Employee_count
429,"MA","50","50","425a","CDI","O","P","ct_9",1439,"tr_5"
434,"NZ",NA,NA,"631a","CDI","O","C","ct_9",1041,"tr_1"
437,"HZ","95","93","676a","CDI","O","C","ct_9",1668,"tr_5"
443,"PZ","29","29","421b","CDI","O","C","ct_8",1820,"tr_3"
452,"CH","85","85","624f","CDI","O","C","ct_9",1786,"tr_4"
486,"OZ","23","23","525b","CDI","O","P",NA,151,NA
500,"MA","12","12","461f","CDI","O","C","ct_9",1194,"tr_5"
511,"OZ","45","45","523c","AUT","O","C","ct_2",1820,"tr_6"
519,"CH","13","13","676c","CDI","O","C","ct_9",2049,"tr_1"
535,"CH","33","33","673a","CDI","O","P","ct_9",972,"tr_1"
542,"LZ","75","78","543f","CDI","O","C","ct_5",1760,"tr_4"
550,"GZ","91","91","554b","CDI","O","C","ct_9",1708,"tr_6"
562,"QB","42","69","526d","CDI","O","C","ct_8",1723,"tr_5"
565,"IZ","35","35","523b","AUT","O","C","ct_1",1820,"tr_4"
577,"KZ","44","44","467c","CDI","O","P","ct_9",768,"tr_2"
581,"GZ","29","29","653a","CDI","O","C","ct_9",2088,"tr_4"
582,"QB","33","33","526a","CDI","O","C","ct_8",1805,"tr_4"
589,"RZ","78","78","424a","CDI","O","P","ct_8",438,"tr_1"
602,"CM","50","50","542a","CDI","O","C","ct_9",1783,"tr_1"
617,"FZ","10","10","481a","CDI","O","C","ct_9",1608,"tr_3"
618,"HZ","93","77","676d","CDI","O","C","ct_9",1548,"tr_4"
629,"QB","77","77","525d","CDI","O","P","ct_3",236,"tr_5"
633,"HZ","56","13","634d","CDI","O","C","ct_9",1522,"tr_6"
639,"GZ","17","17","554a","CDI","O","P","ct_9",219,"tr_1"
647,"FZ","06","06","681a","CDI","O","C","ct_9",1820,"tr_1"
652,"QB","01","01","676e","AUT","O","P","ct_8",853,"tr_5"
657,"QB","90","90","563b","CDI","O","N","ct_7",1791,"tr_1"
666,"FZ","64","64","472c","CDI","O","C","ct_9",1568,"tr_4"
674,"QB","62","62","563a","CDI","O","N","ct_7",1098,"tr_0"
680,"QA","57","57","431f","CDI","O","C","ct_9",1916,"tr_6"
691,"OZ","37","37","462e","CDI","O","C","ct_8",2044,"tr_6"
694,"QA","59","59","542a","CDI","O","P","ct_6",822,"tr_1"
704,"OZ","69","69","545d","CDI","O","C","ct_8",1940,"tr_6"
709,"QA","31","31","526b","CDI","O","C","ct_9",1625,"tr_1"
720,"QA","38","38","433a","CDI","O","P","ct_9",2128,"tr_1"
721,"GZ","93","75","543f","CDI","O","C","ct_9",1337,"tr_2"
722,"CA","35","35","462e","CDI","O","C","ct_9",1787,"tr_2"
723,"NZ","22","22","684a","CDI","O","P","ct_9",889,"tr_5"
725,"QA","94","75","332b","CDI","O","C","ct_3",1820,"tr_6"
733,"HZ","87","87","451a","CDI","O","C","ct_9",1810,"tr_6"
742,"QB","75","75","563b","CDI","O","C","ct_9",1791,"tr_6"
751,"GZ","60","60","554a","CDI","O","C","ct_9",607,"tr_6"
759,"CJ","27","27","373a","CDI","O","C","ct_9",1792,"tr_6"
771,"GZ","84","84","676c","CDI","O","C","ct_9",1855,"tr_4"
772,"HZ","77","77","451a","CDI","O","C","ct_9",1820,"tr_3"
773,"NZ","57","57","684a","CDI","O","P","ct_9",1100,"tr_6"
781,"QA","74","01","526e","CDI","O","C","ct_9",1719,"tr_1"
787,"MA","06","06","462e","CDI","O","C",NA,152,NA
788,"CG","59","59","625c","CDI","O","C","ct_9",1908,"tr_4"
802,"BZ","76","76","671d","CDI","O","C","ct_9",879,"tr_2"
803,"SZ","72","72","684a","CDI","O","C",NA,174,NA
814,"CB","36","36","485b","CDI","O","C","ct_9",1599,"tr_5"
828,"QA","61","61","526e","CDI","O","P","ct_9",901,"tr_3"
830,"OZ","38","38","563a","AUT","O","C","ct_2",1820,"tr_6"
839,"NZ","59","59","684a","CDI","O","P","ct_9",875,"tr_5"
840,"QB","92","92","563a","CDI","O","N","ct_7",3000,"tr_1"
852,"OZ","46","46","451e","CDI","O","P","ct_8",1627,"tr_1"
893,"KZ","38","38","526b","CDI","O","C","ct_9",1561,"tr_1"
920,"CE","69","69","475b","CDI","O","C","ct_9",1834,"tr_2"
924,"AZ","51","51","691d","CDI","O","C",NA,161,NA
926,"SZ","66","66","461d","CDI","O","C","ct_4",1965,"tr_4"
950,"GZ","85","85","461c","CDI","O","P","ct_6",1541,"tr_1"
952,"NZ","78","78","431d","CDI","O","C","ct_9",1547,"tr_1"
956,"NZ","69","69","691e","CDI","O","C",NA,356,"tr_1"
977,"OZ","95","78","388a","CDI","O","C","ct_8",1771,"tr_5"
989,"JB","58","58","478d","CDI","O","C","ct_9",1645,"tr_1"
1001,"QB","49","49","563a","CDI","O","N","ct_7",3000,"tr_1"
1005,"QB","01","01","525d","CDI","O","C","ct_9",1739,"tr_3"
1026,"BZ",NA,NA,"685a","CDI","O","C","ct_9",413,"tr_1"
1044,"IZ","13","13","543c","CDI","O","C","ct_9",357,"tr_1"
1046,"NZ",NA,NA,"534a","CDI","O","P","ct_9",2019,"tr_1"
1052,"HZ","55","54","451a","CDI","O","C","ct_9",1825,"tr_4"
1071,"QA","15","15","542a","CDI","O","P","ct_9",1052,"tr_1"
1088,"HZ","64","64","641b","CDI","O","C","ct_9",1645,"tr_6"
1096,"QB","30","30","563b","CDI","O","P","ct_8",1600,"tr_6"
1100,"NZ","35","35","684a","CDI","O","P","ct_9",3000,"tr_4"
1106,"OZ",NA,NA,"621f","CDI","O","C","ct_2",1820,"tr_6"
1109,"QB","92","92","563a","CDI","O","N","ct_7",3000,"tr_1"
1110,"QA","57","57","525d","CDI","O","P","ct_8",154,"tr_4"
1114,"MB","78","91","342g","CDI","O","C","ct_5",2080,"tr_6"
1139,"MA","93","75","684a","CDI","O","P","ct_9",1943,"tr_1"
1140,"QA","69","69","525d","CDI","O","P","ct_8",750,"tr_6"
1147,"NZ","13","13","534a","CDI","O","C","ct_9",1580,"tr_4"
1148,"GZ","59","59","543g","CDI","O","C","ct_9",1148,"tr_5"
1156,"KZ","27","75","354a","CDI","O","C","ct_8",1715,"tr_5"
1167,"CG","41","41","625c","CDI","O","P","ct_9",841,"tr_5"
1179,"CK","72","72","673c","CDI","O","P","ct_9",821,"tr_5"
1187,"MC","31","31","643a","CDI","O","P","ct_9",625,"tr_3"
1188,"QA","94","94","433a","CDI","O","C","ct_3",1822,"tr_4"
1190,"QB","22","22","434d","CDI","O","C","ct_8",1820,"tr_5"
1192,"QB","22","22","563b","CDI","O","P",NA,1501,NA
1195,"CA","47","33","554a","CDI","O","P","ct_6",556,"tr_1"
1196,"CC","31","31","627d","CDI","O","C","ct_9",1509,"tr_5"
1245,"TZ","44","44","563c","CDD","O","C",NA,152,NA
1248,"QB","21","21","461b","CDI","O","C","ct_8",1820,"tr_3"
1253,"HZ","83","83","676b","CDI","O","C","ct_9",1750,"tr_1"
1264,"SZ","63","63","685a","CDI","O","C","ct_9",1417,"tr_1"
1266,"QB","70","90","525d","CDI","O","C","ct_8",1731,"tr_4"
1270,"QB","49","49","681b","AUT","X","C","ct_8",1505,"tr_4"
1281,"CA","66","66","462b","CDI","O","C","ct_9",1746,"tr_2"
1283,"GZ",NA,NA,"653a","CDI","O","C","ct_9",1824,"tr_2"
1309,"HZ","11","11","641b","CDI","O","C","ct_9",1317,"tr_4"
1311,"CB","67","67","635a","CDI","O","C","ct_9",1581,"tr_2"
1316,"HZ","92","92","641b","CDI","O","C","ct_5",2146,"tr_6"
1325,"GZ","59","59","552a","CDI","O","P","ct_9",1560,"tr_6"
1326,"GZ","49","49","462a","CDI","O","N","ct_9",1820,"tr_1"
1327,"OZ","2B","2B","621f","CDI","O","C",NA,416,NA
1331,"QA","94","94","526b","CDI","O","P","ct_6",707,"tr_1"
1334,"CA","88","88","652a","CDI","O","C","ct_9",1584,"tr_6"
1344,"TZ",NA,NA,"563c","AUT","O","C",NA,221,NA
1356,"HZ","92","92","451a","CDI","O","C","ct_9",1593,"tr_5"
1362,"GZ","59","59","477b","CDI","O","C","ct_9",1493,"tr_4"
1365,"CE","62","62","462e","CDI","O","C","ct_9",2058,"tr_5"
1369,"GZ","28","28","634c","CDI","O","C","ct_9",1644,"tr_1"
1377,"OZ","12","12","621f","CDI","O","P","ct_2",1643,"tr_1"
1402,"CG","78","78","674a","CDI","O","C","ct_9",1677,"tr_4"
1410,"HZ","78","92","466a","CDI","O","C","ct_9",769,"tr_4"
1417,"DZ","75","92","461c","CDI","O","C","ct_9",1771,"tr_6"
1433,"QB","17","17","526d","CDI","O","C","ct_8",1817,"tr_3"
1451,"OZ","06","06","523b","AUT","O","C","ct_1",1820,"tr_6"
1457,"NZ","70","70","684a","CDI","O","C","ct_9",1648,"tr_4"
1464,"NZ","75","94","541d","CDI","O","C","ct_9",1619,"tr_5"
1471,"KZ","75","75","545c","CDI","O","C","ct_8",1067,"tr_1"
1501,"HZ","35","35","641a","CDI","O","C","ct_9",1897,"tr_3"
1510,"LZ","74","69","388d","CDI","O","C","ct_9",1820,"tr_6"
1527,"QB","53","53","543b","CDI","O","P","ct_8",872,"tr_2"
1534,"GZ","56","56","461c","CDI","O","P","ct_9",386,"tr_1"
1537,"PZ",NA,NA,"525b","CDI","O","P","ct_8",1014,"tr_4"
1546,"HZ","87","87","641b","CDI","O","C","ct_9",1779,"tr_6"
1550,"TZ","88","88","563c","CDI","O","N","ct_7",557,"tr_1"
1551,"OZ",NA,NA,"523c","CDI","O","P","ct_2",1596,"tr_6"
1579,"IZ","72","72","561d","CDI","O","P","ct_9",153,"tr_2"
1610,"CH","01","01","676c","CDI","O","C","ct_9",912,"tr_5"
1617,"FZ","06","06","637b","CDI","O","C","ct_9",1673,"tr_1"
1628,"GZ","57","57","463c","CDI","O","C","ct_9",1610,"tr_1"
1647,"QB","66","66","676a","AUT","X","P","ct_8",940,"tr_5"
1658,"GZ","79","79","373c","CDI","O","C","ct_9",1521,"tr_3"
1667,"QB","86","86","525d","CDI","O","C","ct_3",1820,"tr_4"
1687,"KZ","44","44","545b","CDI","O","C","ct_9",1166,"tr_6"
1704,"IZ","42","42","636c","CDI","O","C","ct_9",1804,"tr_2"
1743,"QB","30","30","563c","CDI","O","P","ct_8",564,"tr_4"
1755,"QA","76","76","542a","CDI","O","C","ct_6",1820,"tr_1"
1766,"HZ","56","56","641a","CDI","O","C","ct_9",2111,"tr_5"
1776,"GZ","46","46","461c","CDI","O","C","ct_9",1681,"tr_3"
1778,"HZ","35","35","641b","CDI","O","C","ct_9",1602,"tr_3"
1781,"BZ","76","76","671d","CDI","O","C","ct_9",879,"tr_2"
1788,"OZ","33","33","477c","CDI","O","C","ct_8",607,"tr_6"
1798,"QB","13","13","525d","CDI","O","P",NA,122,NA
1803,"CA","72","72","674c","CDI","O","C","ct_9",1820,"tr_6"
1811,"HZ","40","40","642a","CDI","O","P","ct_9",650,"tr_1"
1813,"GZ","64","64","551a","CDI","O","C","ct_9",1380,"tr_3"
1822,"GZ","57","57","634a","CDI","O","C","ct_9",1774,"tr_4"
1825,"SZ","93","93","541d","AUT","X","P","ct_8",870,"tr_1"
1839,"MC","06","06","526b","CDI","O","C","ct_9",1465,"tr_1"
1840,"PZ",NA,NA,"423a","CDI","O","P","ct_9",2174,"tr_1"
1847,"LZ","74","74","542a","CDI","O","P","ct_9",1251,"tr_1"
1849,"NZ","75","75","388d","CDI","O","P","ct_9",304,"tr_3"
1850,"GZ","66","66","652a","CDI","O","C","ct_9",1386,"tr_4"
1853,"GZ","57","57","683a","CDI","O","C","ct_9",1678,"tr_4"
1864,"MC","49","49","372a","CDI","O","P","ct_9",289,"tr_0"
1872,"QB","95","92","525d","CDI","O","C","ct_9",1926,"tr_3"
1878,"QB","62","62","563b","CDI","O","P",NA,278,NA
1887,"QB","81","81","563b","CDI","O","P","ct_8",1491,"tr_2"
1911,"JA","91","92","373b","CDI","O","C","ct_9",1834,"tr_6"
1919,"HZ","68","68","451g","CDI","O","C","ct_4",1860,"tr_6"
1928,"QA","74","74","526b","CDI","O","C","ct_8",1559,"tr_1"
1930,"CL","69","69","387b","CDI","O","C","ct_9",1820,"tr_6"
1931,"OZ","95","95","524c","CDI","O","C",NA,228,NA
1936,"NZ","93","75","684a","CDD","O","P","ct_9",459,"tr_6"
1938,"KZ","33","92","467a","CDI","O","C","ct_9",540,"tr_6"
1954,"CA","67","67","625f","CDI","O","P","ct_9",910,"tr_6"
1974,"GZ","74","74","676c","CDI","O","P","ct_9",1638,"tr_1"
1981,"TZ","93","75","563c","CDI","O","N","ct_7",2638,"tr_1"
1988,"GZ","75","75","676a","CDI","O","C","ct_9",1403,"tr_6"
1993,"QA","05","05","526a","CDI","O","P","ct_8",1472,"tr_5"
1999,"OZ","72","72","525a","CDI","O","P","ct_2",1197,"tr_1"
2023,"CL","90","25","673c","CDI","O","C","ct_9",1385,"tr_6"
2043,"PZ","88","88","525b","CDI","O","C","ct_8",1820,"tr_5"
2047,"HZ","50","50","641a","CDI","O","C","ct_9",1841,"tr_4"
2051,"GZ",NA,NA,"552a","CDI","O","C","ct_9",1820,"tr_5"
2059,"FZ","91","94","632a","CDI","O","C","ct_9",1820,"tr_5"
2061,"QB","25","25","563b","CDI","O","P","ct_8",1090,"tr_1"
2063,"TZ","61","61","563c","CDI","O","N","ct_7",383,"tr_0"
2091,"QB","34","34","563a","CDI","O","N","ct_7",3000,"tr_1"
2095,"GZ","65","65","643a","CDI","O","P","ct_9",607,"tr_1"
2104,"QB","29","29","525d","CDI","O","C","ct_8",1798,"tr_3"
2122,"QB","87","87","524c","CDI","O","P","ct_2",745,"tr_2"
2143,"TZ","24","24","563c","CDD","O","C",NA,122,NA
2147,"CA","62","59","625g","CDI","O","C","ct_9",1708,"tr_5"
2155,"QB","88","88","554b","AUT","X","P","ct_8",854,"tr_3"
2156,"KZ","85","85","465a","CDI","O","C","ct_9",1785,"tr_1"
2158,"MB","92","91","344b","CDI","O","C","ct_9",1834,"tr_6"
2161,"QB","43","43","525d","CDI","O","C","ct_8",1593,"tr_4"
2168,"OZ","88","88","543g","CDD","O","C","ct_1",1497,"tr_3"
2169,"KZ","88","88","545c","CDI","O","P","ct_8",910,"tr_4"
2170,"QB","44","44","563b","CDI","O","N","ct_7",797,"tr_1"
2174,"PZ","77","77","423b","CDI","O","C","ct_8",1489,"tr_3"
2178,"LZ","64","64","561c","CDI","O","C",NA,192,NA
2182,"NZ","94","93","462e","CDI","O","C","ct_9",1979,"tr_1"
2194,"CM","71","71","627d","CDI","O","C","ct_9",1753,"tr_4"
2198,"NZ","93","94","684a","CDI","O","P","ct_9",1285,"tr_6"
2205,"TZ","80","80","563c","TOA","O","C",NA,577,NA
2207,"QB","16","16","681b","CDI","O","C","ct_8",385,"tr_4"
2211,"GZ","27","27","487a","CDI","O","C","ct_9",1820,"tr_1"
2222,"HZ","91","94","477c","CDI","O","C","ct_9",1293,"tr_6"
2232,"QA","88","88","526b","CDI","O","C","ct_8",1633,"tr_1"
2235,"HZ","29","29","641a","CDI","O","C","ct_9",2200,"tr_1"
2238,"QB","95","95","563a","CDI","O","N","ct_7",3000,"tr_1"
2249,"NZ",NA,NA,"543g","CDI","O","C","ct_9",1820,"tr_1"
2266,"TZ",NA,NA,"563c","CDI","O","N","ct_7",1590,"tr_0"
2268,"RZ","75","75","524b","CDI","O","C","ct_1",1913,"tr_5"
2274,"QA","13","13","636d","CDI","O","C","ct_9",1954,"tr_4"
2278,"PZ","59","59","478b","CDI","O","C","ct_9",700,"tr_2"
2289,"QB","34","34","563a","AUT","O","P","ct_2",1918,"tr_5"
2304,"NZ","62","59","684a","CDI","O","P","ct_9",681,"tr_5"
2312,"GZ","14","14","554b","CDD","O","P","ct_6",188,"tr_0"
2318,"KZ","75","75","543g","CDI","O","C","ct_9",1209,"tr_3"
2332,"QB","91","91","431f","CDI","O","C","ct_8",2006,"tr_5"
2358,"GZ","94","92","635a","CDI","O","C","ct_9",936,"tr_0"
2365,"KZ","78","95","388b","CDI","O","C","ct_9",1526,"tr_3"
2373,"QB","74","74","525d","CDI","O","C","ct_8",1841,"tr_3"
2392,"GZ","31","31","636a","CDI","O","P","ct_9",734,"tr_1"
2399,"PZ","59","59","344b","CDI","O","P","ct_8",2409,"tr_6"
2432,"PZ","38","92","422c","CDI","O","P",NA,127,NA
2436,"QA","08","08","526e","CDI","O","C","ct_9",2021,"tr_3"
2445,"OZ","13","13","467d","CDI","O","P","ct_8",1456,"tr_6"
2449,"GZ","31","31","653a","CDI","O","C","ct_9",1393,"tr_4"
2465,"QA","16","24","526e","CDI","O","C","ct_9",2006,"tr_2"
2467,"CF","69","69","461f","CDI","O","C","ct_9",2007,"tr_6"
2477,"NZ","75","80","671a","CDI","O","C","ct_9",1684,"tr_2"
2487,"TZ","75","75","563c","CDI","O","N","ct_7",1316,"tr_1"
2488,"QA","24","24","526a","CDI","O","C","ct_8",288,"tr_6"
2493,"CJ","30","30","383b","CDI","O","C","ct_9",1698,"tr_2"
2525,"QA","19","19","526e","CDI","O","P","ct_9",534,"tr_1"
2527,"KZ","94","75","543g","CDI","O","C","ct_8",910,"tr_6"
2529,"GZ","69","69","462e","CDI","O","C","ct_9",1750,"tr_4"
2532,"OZ","92","94","333f","CDI","O","C","ct_2",1819,"tr_6"
2561,"CH","59","59","477d","CDI","O","C","ct_9",1291,"tr_6"
2566,"OZ","91","91","423b","CDI","O","C",NA,245,NA
2575,"NZ","76","76","684a","CDI","O","P","ct_9",910,"tr_1"
2580,"CA","51","51","636c","CDI","O","C","ct_6",1687,"tr_1"
2582,"QA","56","56","344a","AUT","O","C","ct_3",905,"tr_6"
2586,"KZ","68","68","545b","CDI","O","C","ct_9",1820,"tr_2"
2592,"MB","33","33","342g","CDI","O","P","ct_5",1036,"tr_6"
2596,"QA","49","49","526b","CDI","O","P","ct_9",1403,"tr_1"
2603,"MA","75","75","543g","CDI","O","C","ct_9",1770,"tr_1"
2608,"MA","89","75","382a","CDI","O","C","ct_9",1820,"tr_6"
2611,"CM","57","57","483a","CDI","O","C","ct_9",1022,"tr_5"
2615,"HZ",NA,NA,"542a","CDI","O","P","ct_9",347,"tr_1"
2616,"CL","78","78","465a","CDI","O","C","ct_9",1755,"tr_6"
2619,"CC","47","47","627d","CDI","O","C","ct_9",1346,"tr_5"
2664,"CH","43","42","626b","CDI","O","C","ct_9",1101,"tr_4"
2677,"GZ",NA,NA,"543b","CDI","O","P","ct_9",1345,"tr_1"
2691,"CA","71","71","462e","CDI","O","C","ct_9",1821,"tr_3"
2695,"QA","10","10","526a","CDI","O","C",NA,140,NA
2713,"GZ","69","69","542a","CDI","O","C","ct_9",777,"tr_2"
2742,"PZ","78","78","423b","CDI","O","C","ct_8",1257,"tr_4"
2755,"CL","59","62","474b","CDI","O","C","ct_9",226,"tr_6"
2764,"PZ","01","69","541b","CDI","O","C","ct_5",688,"tr_1"
2773,"FZ","75","95","632j","CDI","O","C","ct_9",1497,"tr_2"
2776,"HZ",NA,NA,"466c","CDI","O","C","ct_9",1443,"tr_4"
2783,"TZ","84","84","563c","CDI","O","C",NA,280,NA
2785,"HZ","18","18","451a","CDI","O","C","ct_9",1878,"tr_3"
2786,"CC","54","57","676d","CDI","O","P","ct_9",1296,"tr_1"
2818,"CH","25","25","628g","CDI","O","C","ct_9",1306,"tr_5"
2819,"CK","26","26","474c","CDI","O","C","ct_9",1317,"tr_1"
2830,"QB","60","60","525d","CDI","O","C","ct_8",1835,"tr_5"
2831,"TZ","93","75","563c","CDI","O","C",NA,199,NA
2838,"TZ","30","30","563c","CDI","O","N","ct_7",174,"tr_1"
2847,"OZ","92","92","524c","CDI","O","P",NA,245,NA
2851,"GZ","57","57","554a","CDI","O","P","ct_9",274,"tr_1"
2852,"SZ","75","75","636d","CDI","O","C",NA,334,NA
2862,"KZ","91","94","388b","CDI","O","C","ct_9",1820,"tr_6"
2863,"GZ","69","69","463c","CDI","O","C","ct_9",1820,"tr_3"
2873,"NZ","29","29","478b","CDI","O","C","ct_9",1821,"tr_6"
2881,"FZ","16","91","382a","CDI","O","C","ct_9",1820,"tr_6"
2886,"SZ","46","46","632f","CDI","O","P","ct_9",918,"tr_1"
2903,"CI","38","38","543b","CDI","O","P","ct_9",1638,"tr_6"
2906,"CA","73","73","543g","CDI","O","P","ct_9",1230,"tr_3"
2911,"PZ","44","44","341a","CDI","O","C","ct_8",1820,"tr_5"
2913,"TZ","60","60","563c","CDD","O","C",NA,496,NA
2914,"NZ","84","84","691d","CDI","O","C","ct_8",1979,"tr_1"
2915,"QB","14","14","525d","CDI","O","C","ct_8",304,"tr_3"
2930,"HZ","68","68","641b","CDI","O","P","ct_9",770,"tr_4"
2940,"QB",NA,NA,"421b","CDI","O","C","ct_8",1972,"tr_4"
2948,"QB","35","35","543f","CDI","O","C","ct_8",1820,"tr_5"
2961,"QA","80","80","332b","CDI","O","C","ct_3",1516,"tr_6"
2976,"FZ","56","29","632c","CDI","O","C","ct_9",1655,"tr_4"
2981,"SZ","14","95","435b","CDI","O","C","ct_8",1671,"tr_3"
2985,"CI","78","78","462e","CDI","O","C","ct_9",1818,"tr_6"
2994,"QB","69","69","526d","CDI","O","C","ct_8",1820,"tr_3"
3004,"PZ","93","75","543b","CDI","O","C","ct_9",832,"tr_3"
3006,"NZ","30","30","433c","CDI","O","P","ct_9",1450,"tr_4"
3013,"FZ","10","74","542a","CDI","O","P","ct_9",657,"tr_0"
3024,"QB","44","44","432d","CDI","O","C","ct_8",1823,"tr_5"
3030,"MA","06","06","385a","CDI","O","C","ct_9",1390,"tr_1"
3037,"GZ","35","35","551a","CDI","O","C","ct_9",2028,"tr_3"
3040,"IZ","95","75","543b","CDI","O","P","ct_9",1138,"tr_1"
3062,"JC","94","93","373b","CDI","O","C","ct_9",1820,"tr_6"
3063,"QB","76","76","526d","CDI","O","C","ct_8",1498,"tr_5"
3065,"CG","02","02","625b","CDI","O","C","ct_9",1852,"tr_6"
3066,"HZ","39","38","641a","CDI","O","C","ct_9",1750,"tr_4"
3069,"OZ","77","77","523c","AUT","O","C","ct_2",1820,"tr_6"
3075,"RZ","14","14","543e","CDD","O","P","ct_9",329,"tr_5"
3081,"CH","18","18","652a","CDI","O","C","ct_9",1161,"tr_2"
3086,"QA","32","32","542a","CDI","O","P","ct_6",1117,"tr_1"
3089,"NZ","33","33","525d","CDI","O","C","ct_9",1663,"tr_3"
3092,"OZ","34","34","451e","CDI","O","C","ct_8",1137,"tr_3"
3099,"PZ","13","13","543h","CDI","O","C","ct_8",1820,"tr_4"
3102,"OZ","57","57","451e","CDI","O","C","ct_1",1820,"tr_2"
3104,"CF","91","94","484a","CDI","O","C","ct_9",1066,"tr_6"
3106,"GZ","51","51","374a","CDI","O","C","ct_9",1964,"tr_5"
3119,"QB","81","81","525d","CDI","O","C","ct_8",1827,"tr_4"
3122,"CG","02","02","628a","CDI","O","C","ct_9",1929,"tr_5"
3123,"QA","13","13","525d","AUT","O","C","ct_3",1745,"tr_6"
3137,"PZ","21","70","422c","CDI","O","P","ct_8",1116,"tr_2"
3172,"RZ","66","66","424a","CDI","O","C",NA,259,NA
3183,"OZ","24","36","452b","CDI","O","P",NA,50,NA
